"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Présence d’éléments historiques rédigés","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/050444","050444","rico:Family","Lepage (famille ; XVIIIe siècle-1929)","Le Page (famille)","1701-01-01","1929-12-31","oui",,,"https://fr.wikipedia.org/wiki/Faur%C3%A9_Le_Page",,"2014-02-04","2022-07-28"
"agent/050068","050068","rico:Family","Le Peletier (famille)",,"1601-01-01","1800-12-31","oui",,,,,"2013-10-17",
"agent/050257","050257","rico:Family","Le Riche (famille)",,"1639-01-01","1965-12-31","oui",,,,,"2018-03-14",
"agent/050413","050413","rico:Family","Lescours (famille de)","Canolle de Lescours (de)","1201-01-01","2000-12-31","oui",,,,,"2013-10-15","2018-03-12"
"agent/051448","051448","rico:Family","Liberge de Granchain (famille de)","Liberge (famille) | Liberge de Grandchain (famille de)","1101-01-01","1900-12-31","oui",,,,,"2017-02-16","2017-02-27"
"agent/050119","050119","rico:Family","Lobel-Mahy (famille de)","Lobel (famille de)","1201-01-01",,"oui",,,,,"2013-08-13","2013-10-31"
"agent/050058","050058","rico:Family","Loménie de Brienne (famille de)","Brienne (Loménie de)","1401-01-01","1800-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Lom%C3%A9nie",,"2013-08-09","2018-06-29"
"agent/050590","050590","rico:Family","Mackau (famille de ; 1201-2000)",,"1201-01-01","2000-12-31","oui",,,,,"2013-09-11","2020-07-01"
"agent/050159","050159","rico:Family","Maigret (famille de)",,"1301-01-01",,"oui",,,,,"2013-10-17","2015-09-30"
"agent/050593","050593","rico:Family","Maison (famille)",,"1701-01-01","2000-12-31","oui",,,,,"2013-12-03",
"agent/052800","052800","rico:Family","Mathieu-Éloffe (famille ; 1701-2000)",,"1701-01-01","2000-12-31","oui",,,,,"2020-11-17","2020-11-18"
"agent/051984","051984","rico:Family","Mercy-Argenteau (famille de ; 1701-....)",,"1701-01-01",,"oui",,,,,"2018-02-15","2020-02-03"
"agent/050522","050522","rico:Family","Mirabeau (famille)",,"1201-01-01","2000-12-31","oui",,,,,"2013-12-10",
"agent/050044","050044","rico:Family","Monet (famille de)","Monnet (famille de)","1601-01-01","1800-12-31","oui",,,,,"2013-10-17",
"agent/053538","053538","rico:Family","Montalembert (famille de)",,"1001-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Montalembert","https://data.bnf.fr/ark:/12148/cb121277041#about","2023-09-28","2023-11-24"
"agent/050117","050117","rico:Family","Montesquiou-Fezensac (famille de)","Montesquiou (famille de)","1001-01-01",,"oui",,,,,"2013-10-17",
"agent/050516","050516","rico:Family","Montholon (famille de ; 1401-2000)",,"1401-01-01","2000-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Montholon","https://data.bnf.fr/ark:/12148/cb15096360v#about","2014-01-16","2020-02-28"
"agent/050036","050036","rico:Family","Moreton de Chabrillan (famille de)","Guiges de Moreton de Chabrillan (famille de)","1101-01-01","1900-12-31","oui",,,,,"2013-10-17",
"agent/051993","051993","rico:Family","Mornay (famille de)",,"1301-01-01",,"oui",,,,,"2018-02-21","2018-06-01"
"agent/050577","050577","rico:Family","Murat (famille)",,"1601-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Maison_Murat","https://data.bnf.fr/ark:/12148/cb12006361x#about","2015-10-26","2019-02-26"
"agent/050025","050025","rico:Family","Nicolay (famille de)","Nicolaÿ (famille de)","1201-01-01","2000-12-31","oui",,,,,"2013-08-09",
"agent/050505","050505","rico:Family","Noailles (famille de)",,"1001-01-01","2000-12-31","oui",,,,,"2014-01-16",
"agent/050599","050599","rico:Family","Nourry (famille ; XVIIe-XVIIIe siècles)",,"1601-01-01","1800-12-31","oui",,,,,"2013-09-11","2019-07-15"
"agent/050540","050540","rico:Family","Nyssen (famille)",,"1701-01-01","1900-12-31","oui",,,,,"2013-12-10",
"agent/050370","050370","rico:Family","Oberkampf de Dabrun (famille ; XVIe-XXe siècles)",,"1501-01-01","2000-12-31","oui",,,,,"2013-08-23","2022-08-08"
"agent/050029","050029","rico:Family","Ogny (famille Rigoley d')",,"1401-01-01","1900-12-31","oui",,,,,"2013-08-13",
"agent/051254","051254","rico:Family","Orléans (famille d')","Maison de France (branche d'Orléans)","1640-01-01",,"oui",,,,,"2016-02-19","2016-05-26"
"agent/050562","050562","rico:Family","Ormesson (famille d')","Lefèvre d'Ormesson (famille)","1301-01-01","2000-12-31","oui",,,,,"2013-12-10",
"agent/010112","010112","rico:Family","Panon-Desbassayns (famille)",,"1701-01-01","1900-12-31","oui",,,,,"2013-04-23","2014-04-09"
"agent/052221","052221","rico:Family","Panon-Desbassayns de Richemont (famille)",,"1701-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Famille_Panon_Desbassayns_de_Richemont",,"2019-03-26","2019-03-27"
"agent/050594","050594","rico:Family","Paris de la Brosse (famille de)",,"1501-01-01","1900-12-31","oui",,,,,"2014-05-20",
"agent/050040","050040","rico:Family","Pastour de Costebelle (famille)",,"1601-01-01","1900-12-31","oui",,,,,"2013-08-09",
"agent/050138","050138","rico:Family","Pécoul (famille)",,"1601-01-01",,"oui",,,,,"2013-10-17",
"agent/052605","052605","rico:Family","Petitot de Chalancey (famille ; 1701-1800)","Petitot d’Engoulevent (famille)","1701-01-01","1800-12-31","oui",,,,,"2020-07-01","2020-07-07"
"agent/050078","050078","rico:Family","Phélypeaux (famille)","Phélypeaux de Pontchartrain (famille)","1601-01-01","1800-12-31","oui",,,,,"2013-10-17","2014-01-16"
"agent/051604","051604","rico:Family","Plœuc (famille de ; 1401-1900)","Plœuc de Kerharo (famille de) | Plœuc de Timeur (famille de)","1401-01-01","1900-12-31","oui",,,"https://fr.wikipedia.org/wiki/Maison_de_Pl%C5%93uc",,"2017-07-20","2017-08-01"
"agent/051950","051950","rico:Family","Poniatowski (famille ; 1401-....)",,"1401-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Famille_Poniatowski",,"2018-01-29","2020-07-01"
"agent/051808","051808","rico:Family","Potet (famille ; 1401-1800)",,"1401-01-01","1800-12-31","oui",,,,,"2017-11-17","2019-12-06"
"agent/052018","052018","rico:Family","Pourtalès (famille de)",,"1601-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Pourtal%C3%A8s","https://data.bnf.fr/ark:/12148/cb120070693#about","2018-03-23","2018-03-23"
"agent/050475","050475","rico:Family","Raffard de Brienne (famille)",,"1491-01-01","1992-12-31","oui",,,,,"2018-03-14",
"agent/050953","050953","rico:Family","Rambuteau (famille de)","Barthelot (famille) | Barthelot de Rambuteau (famille)","1501-01-01",,"oui",,,,,"2015-01-07",
"agent/051678","051678","rico:Family","Ratton (famille)",,"1701-01-01","2000-12-31","oui",,,,,"2017-09-07","2018-03-14"
"agent/052211","052211","rico:Family","Récamier (famille)",,"1301-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Famille_R%C3%A9camier",,"2019-03-12","2019-03-27"
"agent/009972","009972","rico:Family","Reiset (famille ; XVe-XXe s.)",,"1401-01-01","2000-12-31","oui",,,,,"2013-04-23","2024-03-06"
"agent/052558","052558","rico:Family","Rochechouart (famille de ; Xe siècle-....)",,"0901-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Maison_de_Rochechouart","https://data.bnf.fr/ark:/12148/cb12236249r#about","2020-06-16","2022-07-27"
"agent/050424","050424","rico:Family","Rochemaure (famille de ; 1301-1900)","Rochemore, de","1301-01-01","1900-12-31","oui",,,,,"2020-09-18",
"agent/050940","050940","rico:Family","Rodrigues-Henriques (famille)","Rodrigues Henriques (famille)","1701-01-01","2000-12-31","oui",,,,,"2014-12-16",
"agent/050072","050072","rico:Family","Rohan (famille de)",,"1001-01-01",,"oui",,,,,"2013-08-09",
"agent/051344","051344","rico:Family","ROQUANCOURT-KERAVEL (famille de)","Chancerelle de Roquancourt Keravel | Roquencourt (famille de) | Roquancourt (famille de) | Rocquencourt (famille de) | Rocquancourt (famille de)","1101-01-01","2000-12-31","oui",,,,,"2016-08-01",
