"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_013 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence (rico:beginningDate)","Date de fin d’existence (rico:endDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_013-d3m0bo5nkh1--3eaikvpygipw","d3m0bo5nkh1--3eaikvpygipw","CorporateBody","Société professionnelle des papiers de presse (France)","Société parisienne des papiers de presse",,,,,,
"agent/FRAN_RI_013-d-6mkb1i37px--19ijuo5b6w5qj","d-6mkb1i37px--19ijuo5b6w5qj","CorporateBody","Société SETEC Organisation",,,,,,,
"agent/FRAN_RI_013-d3m0bo6lizv-1gttwcivo4gz1","d3m0bo6lizv-1gttwcivo4gz1","CorporateBody","Sophia-Antipolis (Alpes-Maritimes)",,,,,,,
"agent/FRAN_RI_013-d3m0bo513j5-lfle470iauzi","d3m0bo513j5-lfle470iauzi","CorporateBody","Syndicat des négociants en objets d'art, tableaux et curiosités (Paris)",,,,"Organise dans les années 30 l'exposition annuelle ""Art ancien dans la vie moderne"" au Salon des arts ménagers.",,,
"agent/FRAN_RI_013-d3m0bo6y2lw--n36l7xf33crk","d3m0bo6y2lw--n36l7xf33crk","CorporateBody","Syndicat des transports d'Ile-de-France","STIF | Syndicat des transports parisiens",,,,,,
"agent/FRAN_RI_013-d3m0bo677lp--iad43xq0ro3","d3m0bo677lp--iad43xq0ro3","CorporateBody","Tanio (navire)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5dlyf--ldd4odwr7ghn","d3m0bo5dlyf--ldd4odwr7ghn","CorporateBody","Télédiffusion de France",,,,,,,
"agent/FRAN_RI_013-d3m0bo5omwe-13f9e3vtubzg0","d3m0bo5omwe-13f9e3vtubzg0","CorporateBody","TF1",,,,,,,
"agent/FRAN_RI_013-d3m0bo5xao5--gfclcmzi5pd8","d3m0bo5xao5--gfclcmzi5pd8","CorporateBody","Théâtre du Rond-Point (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5uos6--17c5voueku85n","d3m0bo5uos6--17c5voueku85n","CorporateBody","Théâtre national de la Colline (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo70e72--5nn7tu50p4fo","d3m0bo70e72--5nn7tu50p4fo","CorporateBody","Théâtre national de Strasbourg",,,,,,,
"agent/FRAN_RI_013-d3m0bo5kcef--16ivd5cd41etd","d3m0bo5kcef--16ivd5cd41etd","CorporateBody","Thomson-CSF",,,,,,,
"agent/FRAN_RI_013-d3m0bo6yium--12fowi35nvpio","d3m0bo6yium--12fowi35nvpio","CorporateBody","Torrey Canyon (navire)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6rdqy--59vvzr99xain","d3m0bo6rdqy--59vvzr99xain","CorporateBody","Total","Compagnie française des pétroles",,,,,,
"agent/FRAN_RI_013-d3m0bo5aw3u--25jyomyf19te","d3m0bo5aw3u--25jyomyf19te","CorporateBody","Tribunal militaire international (Nuremberg , Allemagne)",,,,"1945-1946",,,
"agent/FRAN_RI_013-d3m0bo5iuiv-1od662dk6z2lf","d3m0bo5iuiv-1od662dk6z2lf","CorporateBody","UBIFRANCE","Centre national du commerce extérieur (France) | Agence française pour le développement international des entreprises | CFCE | Centre français du commerce extérieur",,,"Etablissement public créé en 1945.",,,
"agent/FRAN_RI_013-d3m0bo6h8hw--17ak6uzv3lz3s","d3m0bo6h8hw--17ak6uzv3lz3s","CorporateBody","Unesco","Organisation des Nations Unies pour l'éducation, la science et la culture",,,,,,
"agent/FRAN_RI_013-d3m0bo6loji--110hidmohpf3q","d3m0bo6loji--110hidmohpf3q","CorporateBody","Union de l'Europe occidentale",,,,,,,
"agent/FRAN_RI_013-d3m0bo65oxm-14dfb932o1yb8","d3m0bo65oxm-14dfb932o1yb8","CorporateBody","Union européenne",,,,,,,
"agent/FRAN_RI_013-d3m0bo60b7s-k1trwfgkceb8","d3m0bo60b7s-k1trwfgkceb8","CorporateBody","Union européenne. Comité économique et social","Comité économique et social européen | Communautés européennes. Comité économique et social",,,,,,
