"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/%C3%AEle",,"PlaceType","île",,"Masse de terre entourée d’eau de manière permanente ou parfois de manière temporaire en fonction des marées. L’eau baignant les îles peut être celle d’un océan, d’une mer, d’un lac ou d’un cours d’eau. Les îles peuvent être temporaires (banc de sable, volcans, etc.) ou permanentes, isolées ou groupées avec d’autres îles et peuvent alors former un archipel. Une petite île est parfois désignée sous les termes d’îlet ou d’îlot. Les îles peuvent être reliées à d’autres îles ou à un continent par une chaussée, un pont ou un tunnel (source : Wikipédia).",,"placeType/zone%20naturelle","zone naturelle",,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/impasse",,"PlaceType","impasse","cul-de-sac | cul-de-sac de la rue | petite impasse | passage du cul-de-sac","« Une impasse, aussi appelée cul-de-sac ou voie sans issue, est une voie aérienne (rue, ruelle) ou souterraine (galerie, tunnel) ne possédant qu’un seul point d’entrée et sortie pour les véhicules, et qui nécessite par conséquent de faire un demi-tour ou une marche arrière pour pouvoir en sortir ». (source: Wikipédia).",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q12731",,,,,"2025-03-12 : Concept ajouté."
"placeType/lac",,"PlaceType","lac",,"Étendue d’eau terrestre : bassin, étang, lac, mare (source : vocabulaire IGN).",,"placeType/%C3%A9l%C3%A9ment%20d%27hydrographie","élément d’hydrographie",,,"http://data.ign.fr/id/codes/topo/typedezai/Lac",,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/lieu-dit",,"PlaceType","lieu-dit",,"Lieu habité autrefois ou aujourd’hui",,,,,,,,,,,
"placeType/maison%20royale%20de%20sant%C3%A9",,"PlaceType","maison royale de santé",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/manoir",,"PlaceType","manoir",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/massif",,"PlaceType","massif","massif montagneux","Ensemble de montagnes formant un bloc continu qui suit une ligne de crête, et s’oppose à une chaîne de montagnes. Il présente la particularité de former un ensemble de reliefs continus, séparé souvent par des rivières, des vallées, entourés d’abîmes ou des reliefs distincts (source : Wikipédia).",,"placeType/zone%20naturelle","zone naturelle",,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/montagne",,"PlaceType","montagne","mont","Forme topographique de relief positif, à la surface de planètes telluriques, et faisant partie d’un ensemble — une chaîne de montagnes — ou formant un relief isolé (source : Wikipédia).",,"placeType/zone%20naturelle","zone naturelle",,,,"http://data.ign.fr/id/codes/topo/typederelief/Montagne",,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/monument%20comm%C3%A9moratif",,"PlaceType","monument commémoratif","mémorial","Monument érigé en souvenir d’un événement, ou / et, en l’honneur d’une ou plusieurs personnes décédées (source : Wikipédia).",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/parc%20industriel",,"PlaceType","parc industriel",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,"http://data.ign.fr/id/codes/topo/typedezai/ZoneIndustrielle",,,,"2020-06-17 : Ajouté le 17 juin 2020."
