"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Exemples (skos:example)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/passage",,"PlaceType","passage",,"« Un passage est en construction-architecture, urbanisme et voirie, une voie qui sert de passage entre 2 rues ou entre deux bâtiments ». (source : Wikipédia).",,"passage Abel Leblanc (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8dagul-1ve20yu7gwa5g]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q13634881 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-69 | http://fr.dbpedia.org/page/Passage_(voie)",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/passerelle",,"PlaceType","passerelle",,"« Une passerelle est, dans le domaine de l’architecture, un pont ou un passage aérien, à l’usage exclusif des piétons voire des cyclistes, pouvant par exemple relier deux bâtiments entre eux, enjamber un cours d’eau ou une voie navigable, un axe de circulation routière ou ferroviaire, etc ». (source: Wikipédia).",,"passerelle de Constantine (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz9n2kb4-18f8webqcwbdx]","placeType/pont","pont",,"http://www.wikidata.org/entity/Q1068842 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-1098 | https://data.bnf.fr/ark:/12148/cb13177898n | http://fr.dbpedia.org/page/Passerelle_(architecture)",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/pavillon",,"PlaceType","pavillon",,"Un pavillon est un bâtiment ou corps de bâtiment caractérisé par un plan sensiblement carré. Un pavillon peut être isolé, hors-œuvre, demi-hors-œuvre, dans-œuvre, sur l’angle, dans l’angle. (Source : Les vocabulaires du Ministère de la Culture et de la Communication)","Le pavillon est une forme architecturale, il ne présente pas de fonction particulière. Pour les édifices connus sous le nom de pavillon, réserver ce terme à la désignation complète de l’édifice.",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-1328 | http://vocab.getty.edu/aat/300002660","http://fr.dbpedia.org/resource/Pavillon_%28architecture%29",,,,"2026-02-23 : Concept ajouté."
"placeType/pays",,"PlaceType","pays",,"« Un pays est un territoire constituant une entité géographique et humaine qui peut être souveraine, autonome en association avec une autre entité souveraine pour sa part, ou bien indépendante de fait mais non reconnue de droit (par le droit international et l’ONU. » (Source : Wikipédia).",,"Italie [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d3ntxku8g8--8c7e9zxf15do]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine","élément de géographie humaine",,"https://www.wikidata.org/wiki/Q6256 | http://data.culture.fr/thesaurus/page/ark:/67717/T1-1372",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/p%C3%A9pini%C3%A8re",,"PlaceType","pépinière",,"""En agriculture, sylviculture, arboriculture ou horticulture, une pépinière est un champ ou une parcelle de terre réservée à la multiplication des plantes ligneuses principalement (arbres, arbustes) mais aussi de plantes vivaces, et à leur culture jusqu’à ce qu’elles atteignent le stade où elles peuvent être transplantées ou commercialisées."" (Source : Wikipédia)",,"Roi, pépinière du (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugrzh6-r3zowig8uyxo]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/p%C3%A9ristyle",,"PlaceType","péristyle",,"« Un péristyle est une galerie de colonnes faisant le tour extérieur (entièrement ou partiellement, sous la forme d’un porche) ou intérieur d’un édifice ». (source: Wikipédia)",,"péristyle de Beaujolais (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8s8vj1-in2j4erankss]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://www.wikidata.org/entity/Q725453 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-1255 | https://data.bnf.fr/ark:/12148/cb133252217",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/petite%20%C3%A9curie",,"PlaceType","petite écurie",,"Sous l’Ancien Régime, une petite écurie est un lieu d’assurer le service ordinaire des montures et des voitures royales (chevaux d’attelage, carrosses, véhicules de parade) et accueillait également une école de pages, réservée à la noblesse ancienne. (Source : Wikipédia)",,"Roi, petites écuries du (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzunr4o7--3ghw1db46a95]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/phare",,"PlaceType","phare",,"Un phare est un « ouvrage, généralement en forme de tour, construit sur un point de la côte, à l’extrémité d’une jetée ou sur une île, et portant un signal lumineux de forte intensité servant à guider les navires.». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Phare des Baleines (Saint-Clément-des-Baleines ; phare) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-6l8o47280--dx1zhzxfh9om]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://www.wikidata.org/wiki/Q39715 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-1039 | https://data.bnf.fr/ark:/12148/cb119330900 | http://fr.dbpedia.org/page/Phare",,,,,"2026-02-23 : Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/pic",,"PlaceType","pic",,"Un pic est un sommet montagneux assez pointu (source : Wikipédia).",,"Grand pic de Belledonne (Isère ; pic) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-1g86cbsqw--1kutj8qyj7hcl]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"http://data.ign.fr/id/codes/topo/typederelief/Pic",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s)"
"placeType/pilier",,"PlaceType","pilier",,"Un pilier est un élément architectural vertical, de plan généralement massif (carré, cylindrique, polygonal), servant de support à une construction. Par extension, le terme désignait les arcades et galeries marchandes établies autour du marché. (Source : Wikipédia)",,"Tonnellerie, piliers de la (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugoiot--148vdz9oo8tir]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/pilori",,"PlaceType","pilori",,"Un pilori est un poteau ou un dispositif vertical auquel un condamné est attaché temporairement, à l’aide de cordes ou d’un carcan, pour être vu et raillé par la foule. Les formes de ce support d’exposition varient, depuis le poteau en bois initialement élevé sur la place du marché ou le pan de mur, jusqu’à l’intégration progressive du carcan puis la transformation du poteau en pilori charpenté, en pilier de pierre ou en tour maçonnée. Les piloris présentent, malgré leur diversité, une caractéristique commune, celle de leur implantation dans un lieu public (place, carrefour, pont, porte de la ville) ancré dans le paysage urbain, choisi pour maximiser la publicité de ce supplice. Par extension, le terme en est venu à désigner non plus seulement l’instrument, mais aussi l’endroit lui-même, devenu un lieu identifié dans la ville.(Source : Wikipédia)",,"Halles, pilori des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzujck84-gbxmftxf2o7n]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-251 | http://data.bnf.fr/ark:/12148/cb12173120p | http://fr.dbpedia.org/resource/Pilori",,,,,"2026-02-23 : Concept ajouté."
"placeType/place",,"PlaceType","place",,"« Une place est un espace public non bâti, desservi par des voies de communication ; elle peut être affectée aux piétons ou aux véhicules ». (source: Wikipédia).",,"place Adolphe Chérioux (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8e4gsw--1c8m8o4k6ocz3]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://www.wikidata.org/entity/Q174782 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-51 | http://fr.dbpedia.org/page/Place | https://data.bnf.fr/ark:/12148/cb11954989x",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/plage",,"PlaceType","plage",,"« Une plage est une berge ou un rivage en pente douce ou très douce correspondant à une étendue de sable, de gravier ou de galets qui se poursuit sous le niveau de l’eau (définition qui prend en compte les plages maritimes le long des mers et des océans, et les plages continentales le long des cours d’eau ou en bordures de plan d’eau) ». (source: Wikipédia)",,"Bréhec, plage de (Plouha ; plage) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-5hh2vt4x5--1hnq9xzkcmqwf]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"https://www.wikidata.org/wiki/Q40080",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/plateau",,"PlaceType","plateau",,"Un plateau est une zone géographique où les cours d’eau sont encaissés, par opposition aux plaines où les cours d’eau coulent à fleur de sol. Le relief y est peu marqué, ce qui différencie un plateau d’une montagne (source : Wikipédia).",,"Gergovie, plateau de (Puy-de-Dôme ; plateau) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-9hudi4z2v-1o9i0wl4y057j]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,,,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s)"
"placeType/pointe",,"PlaceType","pointe",,"« Un cap ou une pointe est une avancée des terres dans une étendue d’eau et constituant une proéminence du littoral ». (source: Wikipédia)",,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,,,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition"
"placeType/pompe%20%C3%A0%20eau",,"PlaceType","pompe à eau",,"Une pompe à eau est un édifice construit afin de prélever l’eau pour alimenter des résidences.",,"Samaritaine, pompe à eau de la (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzupif4x--xbjsjbtds6cd]","placeType/ouvrage%20li%C3%A9%20%C3%A0%20l%E2%80%99alimentation%20en%20eau","ouvrage lié à l’alimentation en eau",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/pompe%20%C3%A0%20feu",,"PlaceType","pompe à feu",,"Une pompe à eau est un édifice d’élévation des eaux construit afin d’alimenter des fontaines dans une ville. (Source : Wikipédia)",,"Gros Caillou, pompe à feu du (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugqcuh-1lqpbi4ccosw2]","placeType/ouvrage%20li%C3%A9%20%C3%A0%20l%E2%80%99alimentation%20en%20eau","ouvrage lié à l’alimentation en eau",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/pont",,"PlaceType","pont","petit pont","Un pont est un ouvrage d’art qui permet de franchir un obstacle naturel ou artificiel en passant par-dessus. (source: Wikipédia).",,"Bonhomme, pont du (Kervignac ; pont) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-8ku2vs00a--1qr65mse1egd1]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://www.wikidata.org/entity/Q12280 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-1097 | https://data.bnf.fr/ark:/12148/cb11932837h | http://fr.dbpedia.org/page/Pont",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/pont-canal",,"PlaceType","pont-canal",,,,"Guétin, pont-canal du (Cher ; pont-canal) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-13p814kqj--yf15boemr1ys]","placeType/pont","pont",,,,,,,"2026-02-23 : Ajout des données suivantes : exemple(s)"
"placeType/port",,"PlaceType","port",,"Un port est une infrastructure construite par l’homme, située sur le littoral maritime, sur les berges d’un lac ou sur un cours d’eau, et destinée à accueillir des bateaux et navires. (Source : Wikipédia)",,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://www.wikidata.org/wiki/Q44782",,,,,"2026-02-23 : Ajout des données suivantes : définition, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/porte",,"PlaceType","porte","porta | porte de ville","Une porte de ville fait partie des fortifications d’une ville. (source : Wikipédia).",,"porta Ferri (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzafpbss--dwzi11aco2uy]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://www.wikidata.org/entity/Q82117 | http://data.culture.fr/thesaurus/page/ark:/67717/T69-155 | https://data.bnf.fr/ark:/12148/cb11948204j | http://fr.dbpedia.org/page/Porte_(architecture)",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/poterne",,"PlaceType","poterne",,"« Une poterne est une petite porte qui était intégrée aux murailles d’une fortification, de façon discrète et qui permettait aux habitants du château de sortir ou rentrer à l’insu de l’assiégeant ». (source: Wikipédia).",,"poterne Barbeau (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8p2mva--e88x9nq7nz5l]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction","placeType/fortification","http://www.wikidata.org/entity/Q23418 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-499 | http://fr.dbpedia.org/resource/Poterne",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) d’association avec des concepts du vocabulaire, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/pr%C3%A9au",,"PlaceType","préau",,"Un préau est « un espace couvert ou non couvert, situé à l’intérieur de certains édifices tels que des hôpitaux, des prisons ou des monastères (préau claustral) généralement utilisé pour la promenade des personnes qui y résident ». (source: Wikipédia).",,"préau des Eaux de Vie (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nza811o2-z8wvq21h3ao]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q109041888 | http://data.culture.fr/thesaurus/resource/ark:/67717/T96-337",,,,"2026-02-23 : Ajout des données suivantes : définition, exemple(s)"
"placeType/prieur%C3%A9",,"PlaceType","prieuré",,"""Un prieuré est un monastère placé sous l’autorité d’un prieur. Il peut être indépendant ou subordonné à une abbaye plus importante, le prieur étant alors lui-même dépendant de l’abbé."" (Source: Wikipédia)",,"Notre-Dame, prieuré (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzum20o7--1vq57648zec15]","placeType/%C3%A9tablissement%20conventuel","établissement conventuel",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-104 | https://data.bnf.fr/ark:/12148/cb11978047w | https://www.wikidata.org/wiki/Q2750108",,,,,"2026-02-23 : Concept ajouté."
"placeType/prison",,"PlaceType","prison",,"Une prison est un lieu dédié à l’enfermement de certaines personnes condamnées appelées prisonniers ou détenus. (source: Wikipédia).",,"Abbaye, prison de l’ (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuenl4x--h6vxqs3tklx3]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://www.wikidata.org/wiki/Q40357 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-244 | https://data.bnf.fr/ark:/12148/cb13318425p | http://fr.dbpedia.org/page/Prison",,,,,"2026-02-23 : Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/promenade",,"PlaceType","promenade",,"« Une promenade est un lieu (parc, square…) ou une voie sur lesquels on se promène ». (source: Wikipédia)",,"promenade Bernard Lafay (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8u05rz--1fks0z4scs186]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q787113 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-73 | http://fr.dbpedia.org/page/Promenade_(lieu_ou_voie)","https://data.bnf.fr/ark:/12148/cb136010225",,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/quai",,"PlaceType","quai",,"« Un quai est un dispositif permettant le chargement et le déchargement de passagers et de biens au bord d’une étendue d’eau (source: Wikipédia) ». « Les voies de circulation qui longent les voies d’eau, particulièrement en zone urbaine, prennent fréquemment le nom de ""quai"" même en l’absence d’accostage ». « Le terme de quai est également utilisé dans les chemins de fer ; il provient du monde de la marine. Il permet d’embarquer ou de débarquer les voyageurs et les marchandises dans les trains (source: Wikipédia)",,"quai Anatole France (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8hvdkn-1qr5kaaf2b4rp]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://www.wikidata.org/wiki/Q828909 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-1105 | https://data.bnf.fr/ark:/12148/cb119494913 | http://fr.dbpedia.org/page/Quai_(voie)",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/quartier",,"PlaceType","quartier",,"Un quartier est une partie d’une ville (source : Wikipédia).",,"Hôtel-de-Ville (Paris, France ; quartier) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_023-d3nyvg6yee--avg1nwx4nj8w]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine","élément de géographie humaine","placeType/villa%20%28voie%29","http://data.ign.fr/id/codes/topo/typedezai/Quartier | http://data.culture.fr/thesaurus/page/ark:/67717/T96-29 | http://fr.dbpedia.org/page/Quartier_(ville)",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) d’association avec des concepts du vocabulaire, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/quartier%20administratif%20actuel%20de%20Paris",,"PlaceType","quartier administratif actuel de Paris",,"""Les 80 quartiers administratifs constituent le niveau le plus fin de l’administration publique à Paris. Chacun contient un poste de police. Chaque arrondissement parisien compte quatre quartiers administratifs. Ces 80 quartiers (historiques, encore utilisés au sein de la préfecture de Paris et de populations très différentes) sont distincts à la fois des 116 conseils de quartier de Paris (plus équilibrés en population) et des 18 circonscriptions législatives pour l’élection des députés à l’Assemblée nationale."" (Source : Wikipédia)",,"Palais-Royal (Paris, France ; quartier) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_023-d3nyvgj653-pntrwb37dxqp]","placeType/quartier","quartier",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/quartier%20historique%20ou%20administratif%20ancien%20de%20Paris",,"PlaceType","quartier historique ou administratif ancien de Paris",,"Un quartier est une division traditionnelle de la ville utilisée comme cadre d’organisation urbaine, sociale et administrative. Leur nombre et leurs limites ont évolué au fil des siècles, servant tour à tour à l’exercice de la police, de la fiscalité et de la représentation municipale, avant d’être remplacés par d’autres découpages modernes. (Source : Wikipédia)",,,"placeType/quartier","quartier",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/r%C3%A9gion",,"PlaceType","région française",,"En France, une région est une division administrative du territoire et des services déconcentrés de l’État. C’est aussi le territoire d’exercice de la collectivité territoriale de même nom. Les régions sont régies par le titre XII de la Constitution de 1958 et la quatrième partie du code général des collectivités territoriales. (source: Wikipédia)",,"Alsace (1982-2015 ; région administrative) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d3ntb5n2ct-ucurm8b2xf66]","placeType/unit%C3%A9%20administrative%20fran%C3%A7aise","unité administrative française",,"https://www.wikidata.org/wiki/Q36784",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/r%C3%A9gion%20historique",,"PlaceType","région historique",,"Une région historique est une zone géographique délimitée par l’étendue d’une culture archéologique, d’une civilisation historique ou d’un peuplement présentant des traits culturels spécifiques tels que la langue, la cuisine, la musique ou l’architecture traditionnelle. Les habitants de cette région, autochtones ou non, peuvent constituer un peuple, une société ou une nation identifiable au cours d’une période historique donnée. Les limites d’une telle région peuvent être déterminées par les contraintes de la géographie physique ou par des aires historiques de diffusion culturelle. Les contours des régions historiques sont en général sans rapport avec les frontières politiques et l’organisation territoriale moderne : la concordance est d’autant plus rare que les délimitations passées sont plus anciennes. (Source : Wikipédia).",,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine","élément de géographie humaine",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/r%C3%A9gion%20naturelle",,"PlaceType","région naturelle",,"Une région naturelle est un territoire d’étendue limitée présentant des proximités géographiques, topographiques, géologiques et/ou climatiques, mais également des liens constitués historiques et culturels. Cette notion est relativement subjective. (Source : Wikipédia)",,"Ponthieu (France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d3m08yzx14j-itod9uxd5ahy]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,,,,,,"2026-02-23 : Correction de la dénomination préférentielle (skos:prefLabel). Ajout des données suivantes : définition, exemple(s)"
"placeType/rond-point",,"PlaceType","rond-point","rondpoint","« Un rond-point, ou rondpoint est une dépendance routière consistant généralement en une place circulaire (ronde, ovale ou polygonale) ou demi-circulaire. Un édicule (œuvre d’art, fontaine) est généralement placé en son centre ». (source: Wikipédia)",,"rond-point Bugeaud (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz91hzbi-18g0n59nvj0nl]","placeType/carrefour","carrefour",,"http://www.wikidata.org/entity/Q1529","http://data.culture.fr/thesaurus/page/ark:/67717/T96-45 | https://data.bnf.fr/ark:/12148/cb120111663 | http://fr.dbpedia.org/resource/Carrefour_giratoire",,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/route",,"PlaceType","route",,"« Une route est au sens littéral une voie terrestre (au niveau du sol ou sur viaduc) aménagée pour permettre la circulation de véhicules à roues ». (source: Wikipédia)",,"route Aimable (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8exsm2-mjkoa4m59n7j]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q34442 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-74 | https://data.bnf.fr/ark:/12148/cb11932808x | http://fr.dbpedia.org/page/Route",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/rue",,"PlaceType","rue","grande rue | grand’rue | grant rue","Une rue est une voie de circulation bordée de bâtiments et située dans une agglomération. (source : Wikidata)",,,"placeType/voie","voie",,"http://www.wikidata.org/entity/Q79007 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-75 | https://data.bnf.fr/ark:/12148/cb11975928c | http://fr.dbpedia.org/resource/Rue",,,,,"2026-02-23 : Ajout des données suivantes : définition, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/ruelle",,"PlaceType","ruelle","petite rue | petite ruelle | ruella","« Une ruelle est une petite rue entre plusieurs bâtiments, souvent accessible uniquement pour les piétons ». (source : Wikipédia).",,"ruelle Raoul (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzcspgps-a1mcaanofngh]","placeType/rue","rue",,"http://www.wikidata.org/entity/Q1251403",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s)"
"placeType/sanctuaire",,"PlaceType","sanctuaire",,"En anthropologie religieuse, un sanctuaire (de sanctus, « sacré ») est généralement un édifice ou lieu rendu (par « consécration ») ou devenu sacré, par son association au Divin ou Transcendant. Le terme désigne donc un site sacré (source : Wikipédia).",,"La Salette, sanctuaire du (La Salette-Fallavaux ; sanctuaire) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-8d3edwuny-2bt9szu7p6k3]","placeType/%C3%A9dicule%20religieux","édicule religieux",,,"https://www.wikidata.org/wiki/Q29553",,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/s%C3%A9minaire",,"PlaceType","séminaire",,"""Le séminaire est l’institution qui forme les ministres (prêtres ou pasteurs) dans le christianisme. Les institutions évangéliques utilisent également l’expression institut de théologie évangélique."" (Source : Wikipédia)",,"Lazaristes, séminaire des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzukeech-1q9m78wstobkf]","placeType/lieu%20d%E2%80%99enseignement","lieu d’enseignement",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-328 | https://data.bnf.fr/ark:/12148/cb119687975",,,,,"2026-02-23 : Concept ajouté."
"placeType/sentier",,"PlaceType","sentier","sente | sente latérale à la rue","« Un sentier est une voie de communication étroite, moins large qu’un chemin, inaccessible aux véhicules (à la différence des chemins) ». (source: Wikipédia).",,"sente à Bigot (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8vb3rh--1u7moszjzc9l7]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q628179 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-76 | https://data.bnf.fr/ark:/12148/cb13162947m | http://fr.dbpedia.org/page/Sentier",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/sentier%20de%20traverse",,"PlaceType","sentier de traverse","chemin de traverse | traverse","« Un chemin de traverse ou traverse est une voie qui permet un raccourci ». (source: Wikipédia)",,"sentier de traverse de la Py (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzcqwhoh--up7269rwe8kl]","placeType/chemin","chemin",,"http://www.wikidata.org/entity/Q16538937",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s)"
