"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"thing/FRAN_RI_004-d3ndf5b8by-1ffnpqf2hbn5v","d3ndf5b8by-1ffnpqf2hbn5v","Thing","coopérative",,,,"thing/FRAN_RI_004-d3ndf5ao2i-1hbvcbxc6yf79","entreprise",,"thing/FRAN_RI_004-d5b8id4dch--qrwqoc7q79rw",,,,,,
"thing/FRAN_RI_004-d3ndf7wibg--18jo1efpclcfc","d3ndf7wibg--18jo1efpclcfc","Thing","coopérative rurale","coopérative agricole | coopération agricole",,,"thing/FRAN_RI_004-d3ndf7vgdo-1bxpgv74hkjro","organisation professionnelle agricole",,,,,,,,
"thing/FRAN_RI_004-d3ndffwzrc--17h3u0lwhd7as","d3ndffwzrc--17h3u0lwhd7as","Thing","coordination des transports","coordination rail-route",,,"thing/FRAN_RI_004-d3ndffsyor-1lzgq4sq9eifs","transport terrestre",,,,,,,,
"thing/FRAN_RI_004-d3ndf8uiha--1kyhxil5tpm6o","d3ndf8uiha--1kyhxil5tpm6o","Thing","coquillage",,,,"thing/FRAN_RI_004-d3ndf8telo-j1fq8t0lvsbb","produit de la mer",,,,,,,,
"thing/FRAN_RI_004-d3ndf33459-gz1yvsgyygc2","d3ndf33459-gz1yvsgyygc2","Thing","corruption",,,,"thing/FRAN_RI_004-d3ndf321k7--1qriidezhjzzm","délit",,,,,,,,
"thing/FRAN_RI_004-d3ndfik099-6q4geayb6kj8","d3ndfik099-6q4geayb6kj8","Thing","cotisation sociale","charge sociale",,,"thing/FRAN_RI_004-d3ndfihuvd-pv77iggki08p","sécurité sociale",,,,,,,,
"thing/FRAN_RI_004-d5b8ie3t8r--5b1t3eljw9bb","d5b8ie3t8r--5b1t3eljw9bb","Thing","coup d’état",,,,"thing/FRAN_RI_004-d3ndeqt0b6-11v0xs1y9i01y","crise politique",,,,,,,,
"thing/FRAN_RI_004-d3ndf3cisg--v11yj3ktxv1x","d3ndf3cisg--v11yj3ktxv1x","Thing","cour administrative d'appel",,,,"thing/FRAN_RI_004-d3ndf3bgmw--5zdy3ovhodkv","juridiction administrative",,,,,,,,
"thing/FRAN_RI_004-d3ndf3ae9l-1iji1haljysn0","d3ndf3ae9l-1iji1haljysn0","Thing","cour d'appel",,,,"thing/FRAN_RI_004-d3ndf38ztp--1r63seewdb1bz","juridiction",,,,,,,,
"thing/FRAN_RI_004-d3ndf3jj7k--b2zwzwutxyow","d3ndf3jj7k--b2zwzwutxyow","Thing","cour d'assises",,,,"thing/FRAN_RI_004-d3ndf3j13p-190tywb0il7ya","juridiction pénale",,,,,,,,
