"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_026)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_026-d5bknwabfa--n5nqmi0eqvzn","d5bknwabfa--n5nqmi0eqvzn","Saint-Honoré (église)",,
"place/FRAN_RI_026-d3m0cugra4g-mi2a7qrsx6cf","d3m0cugra4g-mi2a7qrsx6cf","Saint-Honoré (marché)",,
"place/FRAN_RI_026-d3nzuoj0bf-1w2wiyrmxvjm3","d3nzuoj0bf-1w2wiyrmxvjm3","Saint-Jacques (barrière)",,
"place/FRAN_RI_026-d5bknx75jw--1mj41h5f0lrpv","d5bknx75jw--1mj41h5f0lrpv","Saint-Jacques (image)",,
"place/FRAN_RI_026-d3m0cugzyoq--zzgm5a2ymzpi","d3m0cugzyoq--zzgm5a2ymzpi","Saint-Jacques (marché)",,
"place/FRAN_RI_026-d3m0cug68ok--6r98suel3wi2","d3m0cug68ok--6r98suel3wi2","Saint-Jacques-de-l'Hôpital (cloître)",,
"place/FRAN_RI_026-d3nzuojbiy--z8d1c3gbq32i","d3nzuojbiy--z8d1c3gbq32i","Saint-Jacques-de-la-Boucherie (église)",,
"place/FRAN_RI_026-d3nzuojmy9-7cba6v20fcyc","d3nzuojmy9-7cba6v20fcyc","Saint-Jacques-du-Haut-Pas (église)",,
"place/FRAN_RI_026-d3nzuokt78--pgf8jenexb9g","d3nzuokt78--pgf8jenexb9g","Saint-Jacques-Saint-Christophe (église)",,
"place/FRAN_RI_026-d3nzuolk59--1u0wqb3n35aa9","d3nzuolk59--1u0wqb3n35aa9","Saint-Jean (cimetière)",,
"place/FRAN_RI_026-d5bknxdhm4--3d3b6nsq1413","d5bknxdhm4--3d3b6nsq1413","Saint-Jean (image)",,
"place/FRAN_RI_026-d3m0cugg3mt-1lq4ifor69uzw","d3m0cugg3mt-1lq4ifor69uzw","Saint-Jean (marché)",,
"place/FRAN_RI_026-d5bknwl24z--1ddoan73jr9zw","d5bknwl24z--1ddoan73jr9zw","Saint-Jean-Baptiste (image)",,
"place/FRAN_RI_026-d3m0cuh4te1-19m1ul3bb5bkv","d3m0cuh4te1-19m1ul3bb5bkv","Saint-Jean-de-Latran (cloître)",,
"place/FRAN_RI_026-d3nzuom8i5-1lpt0qrfejve0","d3nzuom8i5-1lpt0qrfejve0","Saint-Jean-de-Latran (commanderie)",,
"place/FRAN_RI_026-d3nzuomjxg-pqmqia7sjktc","d3nzuomjxg-pqmqia7sjktc","Saint-Jean-de-Latran (église)",,
"place/FRAN_RI_026-d3m0cug8szh-b9adczn35t5o","d3m0cug8szh-b9adczn35t5o","Saint-Jean-de-Latran (enclos)",,
"place/FRAN_RI_026-d3m0cuh1clo--14npblwz1t0fl","d3m0cuh1clo--14npblwz1t0fl","Saint-Jean-du-Louvre (cloître)",,
"place/FRAN_RI_026-d3nzuomvcq--1trjkq8iv5r1j","d3nzuomvcq--1trjkq8iv5r1j","Saint-Jean-en-Grève (cimétière)",,
"place/FRAN_RI_026-d3nzuon6zs--qgdpxrbn1t1w","d3nzuon6zs--qgdpxrbn1t1w","Saint-Jean-en-Grève (église)",,
"place/FRAN_RI_026-d3nzuoniul-1pdnmdp8eo399","d3nzuoniul-1pdnmdp8eo399","Saint-Jean-en-Grève (hôpital)",,
"place/FRAN_RI_026-d3nzuonu9v--107icvopkfzwl","d3nzuonu9v--107icvopkfzwl","Saint-Jean-Saint-François (église)",,"Rue Charlot."
"place/FRAN_RI_026-d3nzuoohc7--1lt2zngjl50b4","d3nzuoohc7--1lt2zngjl50b4","Saint-Joseph (couvent)",,"Rue Saint-Dominique."
"place/FRAN_RI_026-d5bknxe84m--139i2gwpr19nh","d5bknxe84m--139i2gwpr19nh","Saint-Joseph (église)",,"Rue Montmartre."
"place/FRAN_RI_026-d5bknwxrrr-57qb4tqoiizu","d5bknwxrrr-57qb4tqoiizu","Saint-Joseph (image)",,
"place/FRAN_RI_026-d5bknwzcw7-nf01nkos4eub","d5bknwzcw7-nf01nkos4eub","Saint-Joseph-des-Carmes (église)",,"Rue de Vaugirard."
"place/FRAN_RI_026-d5bknxiqvj--7cf8jj3dgaeu","d5bknxiqvj--7cf8jj3dgaeu","Saint-Julien (image)",,
"place/FRAN_RI_026-d3nzuoosz9-q8wrwq621kwl","d3nzuoosz9-q8wrwq621kwl","Saint-Julien-des-Ménétriers (chapelle)",,
"place/FRAN_RI_026-d3m0cug1gr3--reffdkcvka49","d3m0cug1gr3--reffdkcvka49","Saint-Julien-le-Pauvre (cloître)",,
"place/FRAN_RI_026-d5bknw4j6z-4zolnsvfa7pz","d5bknw4j6z-4zolnsvfa7pz","Saint-Julien-le-Pauvre (église)",,
"place/FRAN_RI_026-d3nzuopn5o-l851da5loibk","d3nzuopn5o-l851da5loibk","Saint-Laurent (cimetière)",,
"place/FRAN_RI_026-d3nzuopznr--v6tte7wpe7hs","d3nzuopznr--v6tte7wpe7hs","Saint-Laurent (église)",,
"place/FRAN_RI_026-d5bknwunw9--7f61j55wsgtf","d5bknwunw9--7f61j55wsgtf","Saint-Laurent (image)",,
"place/FRAN_RI_026-d3nzuoqb32-l2rqa26mfde6","d3nzuoqb32-l2rqa26mfde6","Saint-Lazare (barrière)",,
"place/FRAN_RI_026-d3nzuoqmic-1s1gg9g5qcgb1","d3nzuoqmic-1s1gg9g5qcgb1","Saint-Lazare (église)",,
"place/FRAN_RI_026-d3m0cuglydw--1m5mcsac71ac4","d3m0cuglydw--1m5mcsac71ac4","Saint-Lazare (enclos)",,
"place/FRAN_RI_026-d5bknwa2dd-1ndlxptzzgq8p","d5bknwa2dd-1ndlxptzzgq8p","Saint-Lazare (enseigne de)",,
"place/FRAN_RI_026-d3nzuoqy5e--ri2o8vgfo0re","d3nzuoqy5e--ri2o8vgfo0re","Saint-Lazare (gare)","Rouen (gare de )",
"place/FRAN_RI_026-d3nzuorsz3-3er5ztd9wdv6","d3nzuorsz3-3er5ztd9wdv6","Saint-Lazare (hôpital)","Saint-Lazare (prison) | Saint-Lazare (maison de)","Rue du Faubourg-Saint-Denis."
"place/FRAN_RI_026-d3nzuosw7f-1oygz98tx2hiu","d3nzuosw7f-1oygz98tx2hiu","Saint-Leu-Saint-Gilles (église)","Saint-Leu (église)",
"place/FRAN_RI_026-d5bknx4ob7-1mh2njoqm88ad","d5bknx4ob7-1mh2njoqm88ad","Saint-Liénard (image)",,
"place/FRAN_RI_026-d3nzuot7mq-ta576gyz2my7","d3nzuot7mq-ta576gyz2my7","Saint-Louis (hôpital)",,
"place/FRAN_RI_026-d5bknxx3sd-1i8f5a7l0upmp","d5bknxx3sd-1i8f5a7l0upmp","Saint-Louis (image)",,
"place/FRAN_RI_026-d3nzuotup2--9yfkdroct40q","d3nzuotup2--9yfkdroct40q","Saint-Louis-de-la-Couture (monastère)",,
"place/FRAN_RI_026-d3nzuou6c3-moa3uz6uvov8","d3nzuou6c3-moa3uz6uvov8","Saint-Louis-des-Invalides (église)",,
"place/FRAN_RI_026-d3m0cug2rhy-1mflmzohd9p9c","d3m0cug2rhy-1mflmzohd9p9c","Saint-Louis-du-Louvre (cloître)",,
"place/FRAN_RI_026-d3nzuouhre-1tlm0km9hlojn","d3nzuouhre-1tlm0km9hlojn","Saint-Louis-du-Louvre (église)",,
"place/FRAN_RI_026-d3m0cuh28ou-xhpwloql7jjb","d3m0cuh28ou-xhpwloql7jjb","Saint-Louis-en-l'Ile (église)",,
"place/FRAN_RI_026-d3nzuoutef-n5ymd0rr2n4j","d3nzuoutef-n5ymd0rr2n4j","Saint-Magloire (couvent)",,
"place/FRAN_RI_026-d3nzuov4tq--8t7nvkdx5rec","d3nzuov4tq--8t7nvkdx5rec","Saint-Magloire (prison)",,
"place/FRAN_RI_026-d3nzuovgoj--a3jvcrx8mwj8","d3nzuovgoj--a3jvcrx8mwj8","Saint-Magloire (séminaire)",,
"place/FRAN_RI_026-d5bknx7fom--844uckip2xu","d5bknx7fom--844uckip2xu","Saint-Mandé (barrière de)",,
"place/FRAN_RI_026-d3m0cuhch3z--1n10jxwqk6b1a","d3m0cuhch3z--1n10jxwqk6b1a","Saint-Marcel (cloître)",,
"place/FRAN_RI_026-d5bknwmygy--1j30ntkiq5cmg","d5bknwmygy--1j30ntkiq5cmg","Saint-Marcel (église)",,
"place/FRAN_RI_026-d5bknx37a7-1q6yri2fzgnfh","d5bknx37a7-1q6yri2fzgnfh","Saint-Marcel (image)",,
"place/FRAN_RI_026-d3m0cuh9tmz-fn3m9ely5c7b","d3m0cuh9tmz-fn3m9ely5c7b","Saint-Marcel (maison de santé)",,
"place/FRAN_RI_026-d3nzuovvc8-1w3u8xggvroc7","d3nzuovvc8-1w3u8xggvroc7","Saint-Martin (canal)",,
"place/FRAN_RI_026-d5bknwhiyh--9cmget8hv6uo","d5bknwhiyh--9cmget8hv6uo","Saint-Martin (image)",,
"place/FRAN_RI_026-d3m0cug8410--6cvt8k531pzf","d3m0cug8410--6cvt8k531pzf","Saint-Martin (marché)",,
"place/FRAN_RI_026-d3m0cuhfvis-10iyu6zqwfbub","d3m0cuhfvis-10iyu6zqwfbub","Saint-Martin-des-Champs (abbaye de)",,
"place/FRAN_RI_026-d5bknw7kp5-55rtyeqyvgt8","d5bknw7kp5-55rtyeqyvgt8","Saint-Martin-des-Champs (église)",,
"place/FRAN_RI_026-d3nzuoxiei--10pc3q67r5da1","d3nzuoxiei--10pc3q67r5da1","Saint-Médard (église)",,
"place/FRAN_RI_026-d3m0cugquo9-66xta18y874f","d3m0cugquo9-66xta18y874f","Saint-Merri (cloître)",,
"place/FRAN_RI_026-d3nzuoxu1j-9mxisrut2bg2","d3nzuoxu1j-9mxisrut2bg2","Saint-Merri (église)",,
"place/FRAN_RI_026-d3m0cuh7wb8--1ebos3503g6b5","d3m0cuh7wb8--1ebos3503g6b5","Saint-Michel (église)",,
"place/FRAN_RI_026-d5bknwnfa8--66qvkb3uy21g","d5bknwnfa8--66qvkb3uy21g","Saint-Michel (image)",,
"place/FRAN_RI_026-d3nzuoy592-1pomonc016312","d3nzuoy592-1pomonc016312","Saint-Nicolas (église)",,
"place/FRAN_RI_026-d5bknwnr51-17indqyr0782p","d5bknwnr51-17indqyr0782p","Saint-Nicolas (image)",,
"place/FRAN_RI_026-d3m0cugfl0j--vggvz0hl9i50","d3m0cugfl0j--vggvz0hl9i50","Saint-Nicolas-des-Champs (cloître)",,
"place/FRAN_RI_026-d3nzuoykk1-1c84stus2rcuc","d3nzuoykk1-1c84stus2rcuc","Saint-Nicolas-des-Champs (église)",,
"place/FRAN_RI_026-d3nzuozf5z-twk77idv87mg","d3nzuozf5z-twk77idv87mg","Saint-Nicolas-du-Chardonnet (église)",,
"place/FRAN_RI_026-d3nzuozro2--wqrj8qc42mvt","d3nzuozro2--wqrj8qc42mvt","Saint-Nicolas-du-Chardonnet (séminaire)",,
"place/FRAN_RI_026-d5bknxljjj--ya6fk1t86nby","d5bknxljjj--ya6fk1t86nby","Saint-Nicolas-du-Louvre (église)",,
"place/FRAN_RI_026-d3nzup0eaw--f4lzz2g8at3f","d3nzup0eaw--f4lzz2g8at3f","Saint-Paul (cimetière)",,
"place/FRAN_RI_026-d5bknxnc7k-1a5znuxxg8qgv","d5bknxnc7k-1a5znuxxg8qgv","Saint-Paul (église)",,
"place/FRAN_RI_026-d3nzup189j--w0psbzglxm3u","d3nzup189j--w0psbzglxm3u","Saint-Paul (hôtel)",,"Rue du Roi-de-Sicile."
"place/FRAN_RI_026-d5bknwi0ul-6zv23pxj1tlr","d5bknwi0ul-6zv23pxj1tlr","Saint-Paul-des-Champs (église)",,
"place/FRAN_RI_026-d3nzup1kjv-1jtbjzh3fsa7b","d3nzup1kjv-1jtbjzh3fsa7b","Saint-Paul-Saint-Louis (église)",,
"place/FRAN_RI_026-d3nzup1vz6--15re5iojdysjf","d3nzup1vz6--15re5iojdysjf","Saint-Philippe-du-Roule (barrière de)",,
"place/FRAN_RI_026-d3nzup27m7--yy5gy3ujlefe","d3nzup27m7--yy5gy3ujlefe","Saint-Philippe-du-Roule (église)",,
"place/FRAN_RI_026-d3nzup2j99-1d3uam2v3l6sb","d3nzup2j99-1d3uam2v3l6sb","Saint-Pierre (chapelle)",,
"place/FRAN_RI_026-d3nzup2uwb-kuwi3ub8g1of","d3nzup2uwb-kuwi3ub8g1of","Saint-Pierre (hôtel)",,
"place/FRAN_RI_026-d5bknx4dbf--1s5taxfrgs0qb","d5bknx4dbf--1s5taxfrgs0qb","Saint-Pierre (image)",,
"place/FRAN_RI_026-d3nzup36jd-1kr4n32hk6clk","d3nzup36jd-1kr4n32hk6clk","Saint-Pierre-aux-Boeufs (église)",,
"place/FRAN_RI_026-d3nzup3ie6-pzqeejuhl3g","d3nzup3ie6-pzqeejuhl3g","Saint-Pierre-des-Arcis (église)",,
"place/FRAN_RI_026-d3m0cuhd0it--1e0wxr05giwbx","d3m0cuhd0it--1e0wxr05giwbx","Saint-Pierre-du-Gros-Caillou (église)",,
"place/FRAN_RI_026-d5bknw8g64-h2jue74yiqdu","d5bknw8g64-h2jue74yiqdu","Saint-Pierre-et-Saint-Jacques (enseigne)",,
"place/FRAN_RI_026-d3nzup3tlp-hexpgxe0agam","d3nzup3tlp-hexpgxe0agam","Saint-Roch (église)",,
"place/FRAN_RI_026-d3nzup463s--1ddzqfsbzybs1","d3nzup463s--1ddzqfsbzybs1","Saint-Sauveur (église)",,
"place/FRAN_RI_026-d5bknxc0l5-1jlgms8mmvqfv","d5bknxc0l5-1jlgms8mmvqfv","Saint-Sébastien (image)",,
"place/FRAN_RI_026-d3m0cuh8t6x--194mwiuhuvqy","d3m0cuh8t6x--194mwiuhuvqy","Saint-Sépulcre (église du)",,
"place/FRAN_RI_026-d3nzup4hyl--fzpj1cvcz7k0","d3nzup4hyl--fzpj1cvcz7k0","Saint-Séverin (église)",,
"place/FRAN_RI_026-d3nzupgmgv-ovhp9tfaadyx","d3nzupgmgv-ovhp9tfaadyx","Saints-Innocents (cimetière des)","Innocents (cimetière des)",
"place/FRAN_RI_026-d3nzupgy3x--1wzfs97wvqfrx","d3nzupgy3x--1wzfs97wvqfrx","Saints-Innocents (église des)","Innocents (église des)",
"place/FRAN_RI_026-d3nzup4t64--11opuk85qfdqf","d3nzup4t64--11opuk85qfdqf","Saint-Sulpice (église)",,
"place/FRAN_RI_026-d3nzup5g8g-1akbrsyghiil6","d3nzup5g8g-1akbrsyghiil6","Saint-Sulpice (séminaire)",,"Quartier Saint-Lambert."
"place/FRAN_RI_026-d3nzup7amk--14bgcny45l80v","d3nzup7amk--14bgcny45l80v","Saint-Thomas-d'Aquin (église)",,
"place/FRAN_RI_026-d3m0cuh1ixu--jsi8oxyiwgcz","d3m0cuh1ixu--jsi8oxyiwgcz","Saint-Thomas-du-Louvre (cloître)",,
"place/FRAN_RI_026-d3nzup832x--jwpiah22qgg8","d3nzup832x--jwpiah22qgg8","Saint-Thomas-du-Louvre (église)",,
"place/FRAN_RI_026-d3nzup8fl0-1viv5t9r0qqko","d3nzup8fl0-1viv5t9r0qqko","Saint-Victor (abbaye)",,
"place/FRAN_RI_026-d3nzup8r81--141m9zyshsz0b","d3nzup8r81--141m9zyshsz0b","Saint-Victor (barrière)",,
"place/FRAN_RI_026-d5bknw2eo5-pj5xk9ri3lpk","d5bknw2eo5-pj5xk9ri3lpk","Saint-Victor (image)",,
"place/FRAN_RI_026-d5bknws8dm-1oby3elv7o05b","d5bknws8dm-1oby3elv7o05b","Saint-Vincent (image)",,
"place/FRAN_RI_026-d3nzup92nc-1icst23c6ywnf","d3nzup92nc-1icst23c6ywnf","Saint-Yves (chapelle)",,"Rue Saint-Jacques."
"place/FRAN_RI_026-d5bknwo7yc--8lwla4egoatw","d5bknwo7yc--8lwla4egoatw","Saint-Yves (enseigne)",,
"place/FRAN_RI_026-d5bknxb84s--19rtijwrvef98","d5bknxb84s--19rtijwrvef98","Salamandre (enseigne de la)",,
"place/FRAN_RI_026-d3nzuph9qz-t99l0dpny3q4","d3nzuph9qz-t99l0dpny3q4","Salamandre (hôtel de la)",,
"place/FRAN_RI_026-d5bknxb545--o4mxdumdu040","d5bknxb545--o4mxdumdu040","Salamandre d'Argent (enseigne de la)",,
"place/FRAN_RI_026-d5bknxo1n9-gcufjyguznn8","d5bknxo1n9-gcufjyguznn8","Salé (hôtel)",,"Actuellement Musée Picasso."
"place/FRAN_RI_026-d3nzuphl69--1lvuwp8d1kjnp","d3nzuphl69--1lvuwp8d1kjnp","Samaritaine (grands magasins de la)",,
"place/FRAN_RI_026-d3nzupif4x--xbjsjbtds6cd","d3nzupif4x--xbjsjbtds6cd","Samaritaine (pompe à eau de la)",,
"place/FRAN_RI_026-d3nzupirn0-2oaihst5y9ws","d3nzupirn0-2oaihst5y9ws","Santé (prison de la)",,
"place/FRAN_RI_026-d5bknwrjsz-17yiqpw9c9m4c","d5bknwrjsz-17yiqpw9c9m4c","Saule (enseigne du)",,
"place/FRAN_RI_026-d3nzupj32a-1ov07cs5s5apw","d3nzupj32a-1ov07cs5s5apw","Saulx-Taranne (hôtel de)",,"Rue du Bac."
"place/FRAN_RI_026-d5bknwlt2z--15efuddiu3b1g","d5bknwlt2z--15efuddiu3b1g","Saumon (enseigne du)",,
"place/FRAN_RI_026-d3nzupjepc--xunpmlwvsz9x","d3nzupjepc--xunpmlwvsz9x","Saumon (hôtel du)",,
"place/FRAN_RI_026-d5bknwebuk-150w8aakvijg1","d5bknwebuk-150w8aakvijg1","Saut de la Chèvre (enseigne du)",,
"place/FRAN_RI_026-d5bknwnwyk--1m84yaq496g14","d5bknwnwyk--1m84yaq496g14","Sauvage (enseigne du)",,
"place/FRAN_RI_026-d5bknxdse5--r482sx4dwqd0","d5bknxdse5--r482sx4dwqd0","Sauvage d'Or (enseigne du)",,
"place/FRAN_RI_026-d5bknx2118--retgmv60sj4l","d5bknx2118--retgmv60sj4l","Sauvegarde (enseigne de la)",,
"place/FRAN_RI_026-d3nzupjq4m--1t2pqgqsa42vu","d3nzupjq4m--1t2pqgqsa42vu","Savoisy (hôtel de)",,
"place/FRAN_RI_026-d3nzupkkb1--19j4xyyvk42mj","d3nzupkkb1--19j4xyyvk42mj","Savonnerie (manufacture de la)",,
"place/FRAN_RI_026-d3nzupkwt5--6p5dxn97iyex","d3nzupkwt5--6p5dxn97iyex","Schomberg-d'Aligre (hôtel de)",,
"place/FRAN_RI_026-d3nzupl88f-109jc1soxi6h2","d3nzupl88f-109jc1soxi6h2","Scipion (barrière de)",,
"place/FRAN_RI_026-d3nzupljnp--c8v8e2ggb22l","d3nzupljnp--c8v8e2ggb22l","Sées (collège de)",,
"place/FRAN_RI_026-d5bknw60ni-jocdbeymy80d","d5bknw60ni-jocdbeymy80d","Séguier (hôtel)","Luynes (hôtel de) | O (hôtel d') | Fermes (hôtel des)","Cette dénomination correspond à 2 hôtels situés : rue Jean-Jacques-Rousseau (également dénommé Fermes (hôtel des)) , rue Gît-le-Coeur (également dénommé O (hôtel d'), Luynes (hôtel de))."
"place/FRAN_RI_026-d5bknxr713-1abp4f0357pp2","d5bknxr713-1abp4f0357pp2","Selette (enseigne de la)",,
"place/FRAN_RI_026-d5bknxtnmi-u2lzzujxaia7","d5bknxtnmi-u2lzzujxaia7","Sellesse (enseigne de la)",,
"place/FRAN_RI_026-d3nzupmdmd--17rwy0zuu48ic","d3nzupmdmd--17rwy0zuu48ic","Sénecterre (hôtel de)","La Ferté Saint-Nectaire (hôtel de)","Rue de l'Université et rue de Verneuil."
"place/FRAN_RI_026-d3nzupmqc8-1a4p4531ne4dg","d3nzupmqc8-1a4p4531ne4dg","Sens (collège de)",,
"place/FRAN_RI_026-d3nzupn1ri-ehq5c045hb25","d3nzupn1ri-ehq5c045hb25","Sens (hôtel de)","Noirmoutier (hôtel de)","Cette dénomination correspond à 2 hôtels situés : rue du Figuier, rue de Grenelle (également dénommé Noirmoutier (hôtel de))."
"place/FRAN_RI_026-d5bknwyoja-1bb1ulrp8s3pe","d5bknwyoja-1bb1ulrp8s3pe","Sereine (enseigne de la)",,
"place/FRAN_RI_026-d3nzupncz1-n1a5briivjct","d3nzupncz1-n1a5briivjct","Sérilly (hôtel de)",,
"place/FRAN_RI_026-d5bknxj8rm-65gr7gtn0xpr","d5bknxj8rm-65gr7gtn0xpr","Serpette (enseigne de la)",,
"place/FRAN_RI_026-d5bknw85tm--1b1pjkqzwimtu","d5bknw85tm--1b1pjkqzwimtu","Sèvres (barrière de)",,
"place/FRAN_RI_026-d5bknw9lk2--mx4j8jxbqk68","d5bknw9lk2--mx4j8jxbqk68","Signe de la Croix (enseigne du)",,
"place/FRAN_RI_026-d3nzupnoeb--1s3e2mm91a3lv","d3nzupnoeb--1s3e2mm91a3lv","Sillery (hôtel de)",,
"place/FRAN_RI_026-d5bknwgmmh-g3nfo0kzc52x","d5bknwgmmh-g3nfo0kzc52x","Singes (enseigne des)",,
"place/FRAN_RI_026-d5bknx9cnv--14uttqr093og5","d5bknx9cnv--14uttqr093og5","Singe Vert (enseigne du)",,
"place/FRAN_RI_026-d5bknxfsls--n5plbapf1x6z","d5bknxfsls--n5plbapf1x6z","Sirène (enseigne de la)",,
"place/FRAN_RI_026-d3nzupo01d-mu3r7kbx2aru","d3nzupo01d-mu3r7kbx2aru","Soeurs-de-la-Charité (couvent des)",,
"place/FRAN_RI_026-d3nzupobgn-1qvxln9i9qj9c","d3nzupobgn-1qvxln9i9qj9c","Soissons (hôtel de)",,
"place/FRAN_RI_026-d5bknwwf1y-145a95zg010j3","d5bknwwf1y-145a95zg010j3","Soleil Bandé (enseigne du)",,
"place/FRAN_RI_026-d5bknx8sm6--tf482usfh2ic","d5bknx8sm6--tf482usfh2ic","Soleil d'Or (enseigne du)",,
"place/FRAN_RI_026-d5bknwnozg-umxbennuvrnb","d5bknwnozg-umxbennuvrnb","Sorbonne","Sorbonne (université de la) | Sorbonne (collège de)",
"place/FRAN_RI_026-d3nzuppq4a-u10ggll3chi2","d3nzuppq4a-u10ggll3chi2","Soubise (hôtel de)",,
"place/FRAN_RI_026-d3nzupq2em--1df9odg7l4rd2","d3nzupq2em--1df9odg7l4rd2","Souche (hôtel de la)",,
"place/FRAN_RI_026-d5bknxju3v--1q2blqvh8j7n3","d5bknxju3v--1q2blqvh8j7n3","Soufflet (enseigne du)",,
"place/FRAN_RI_026-d5bknxfpde-106aldhhtnbmj","d5bknxfpde-106aldhhtnbmj","Soufflet Vert (enseigne du)",,
"place/FRAN_RI_026-d5bknw7006-dqfn3ncoxdyc","d5bknw7006-dqfn3ncoxdyc","Soyecourt (hôtel de)","Maisons (hôtel de) | Présidents de Maisons (hôtel des) | Pozzo di Borgo (hôtel)","Cette dénomination correspond à 2 hôtels situés : place des Victoires, rue de l'université (également dénommé Pozzo di Borgo (hôtel), Présidents de Maisons (hôtel des), Maisons (hôtel de))."
"place/FRAN_RI_026-d5bknwdiyq--1nfuekkuje4bn","d5bknwdiyq--1nfuekkuje4bn","Sphère Royale (enseigne de la)",,
"place/FRAN_RI_026-d3nzupqpgy--1bnyfs1peyeh9","d3nzupqpgy--1bnyfs1peyeh9","Stanislas (collège)",,
"place/FRAN_RI_026-d3nzuprcja--1eott59jpdcko","d3nzuprcja--1eott59jpdcko","Tabacs (manufacture royale des)",,"Rue de l'Université."
"place/FRAN_RI_026-d5bknx654f--9u7754zm99sb","d5bknx654f--9u7754zm99sb","Tailleur d'Argent (enseigne du)",,
"place/FRAN_RI_026-d3nzuproe3--1febgtjm7zje7","d3nzuproe3--1febgtjm7zje7","Talaru (hôtel de)",,"Rue du Bac."
"place/FRAN_RI_026-d3nzuprzte-17gddh5i0h388","d3nzuprzte-17gddh5i0h388","Taranne (hôtel de)",,
"place/FRAN_RI_026-d3nzupsbgf-ec8vrbwi1hga","d3nzupsbgf-ec8vrbwi1hga","Temple (barrière du)",,
"place/FRAN_RI_026-d3nzupth9w--1jb12sjfbvklx","d3nzupth9w--1jb12sjfbvklx","Temple (église du)",,
"place/FRAN_RI_026-d3m0cug9d6t--1rqiwixxktat8","d3m0cug9d6t--1rqiwixxktat8","Temple (enclos)",,
"place/FRAN_RI_026-d5bknwg382--129urhk67s8b6","d5bknwg382--129urhk67s8b6","Temple (forteresse du)",,
"place/FRAN_RI_026-d3m0cugo9z2--13nwfvcoocsvh","d3m0cugo9z2--13nwfvcoocsvh","Temple (marché du)",,
"place/FRAN_RI_026-d3nzupu4zi-kcmo7sxrnf9k","d3nzupu4zi-kcmo7sxrnf9k","Temple (prison du)","Temple (tour du)",
"place/FRAN_RI_026-d5bknw8acl--sh824rsmcysc","d5bknw8acl--sh824rsmcysc","Temps Perdu (enseigne du)",,
"place/FRAN_RI_026-d3nzupuget-1w60i2g91j4se","d3nzupuget-1w60i2g91j4se","Ternes (château des)",,
"place/FRAN_RI_026-d3nzupushd-ueha0add46mc","d3nzupushd-ueha0add46mc","Tessé (hôtel de)",,"Quai voltaire et rue des Saints-Pères."
"place/FRAN_RI_026-d5bknw725r-101l8p9llzki4","d5bknw725r-101l8p9llzki4","Tête de Cerf (enseigne de la)",,
"place/FRAN_RI_026-d5bknx9rbk-g3layqf9vbm7","d5bknx9rbk-g3layqf9vbm7","Tête Noire (enseigne de la)",,
"place/FRAN_RI_026-d3nzupv3h5--1o5kxioob07s7","d3nzupv3h5--1o5kxioob07s7","Thellusson (hôtel)",,
"place/FRAN_RI_026-d3nzupveoo--agmxyl5k3w42","d3nzupveoo--agmxyl5k3w42","Thermes (palais des)",,
"place/FRAN_RI_026-d3nzupvpw7-1c435cvmuytk7","d3nzupvpw7-1c435cvmuytk7","Thiers (hôtel)",,
"place/FRAN_RI_026-d3nzupw1bh--1gboco1k4l1xg","d3nzupw1bh--1gboco1k4l1xg","Timbre (hôtel du)",,"Rue de la Banque."
"place/FRAN_RI_026-d3nzupy7zx--8cgx1mcyzs4k","d3nzupy7zx--8cgx1mcyzs4k","Tingry (hôtel de)",,
"place/FRAN_RI_026-d3nzupylsl-1fdzynlq5ds9x","d3nzupylsl-1fdzynlq5ds9x","Tiron (abbaye de)",,
"place/FRAN_RI_026-d5bknwucwh-6paupw5h40rv","d5bknwucwh-6paupw5h40rv","Tison (enseigne du)",,
"place/FRAN_RI_026-d3m0cugoiot--148vdz9oo8tir","d3m0cugoiot--148vdz9oo8tir","Tonnellerie (piliers de la)",,
"place/FRAN_RI_026-d3nzupyxfm--746c3eayc533","d3nzupyxfm--746c3eayc533","Tonnerre (hôtel de)",,
"place/FRAN_RI_026-d3nzupzkpq--1ttjoaffx6yen","d3nzupzkpq--1ttjoaffx6yen","Torpanne (hôtel de)",,
"place/FRAN_RI_026-d5bknxlf0k--1gya31zfrgiok","d5bknxlf0k--1gya31zfrgiok","Tortue (enseigne à la)",,
"place/FRAN_RI_026-d3nzupzx7t--ii8opccsg1iy","d3nzupzx7t--ii8opccsg1iy","Toulouse (hôtel de)",,"Actuellement siège de la Banque de France."
"place/FRAN_RI_026-d3nzuq092m-1nch729lpu8d2","d3nzuq092m-1nch729lpu8d2","Toulouse (petit hôtel de)",,
"place/FRAN_RI_026-d5bknwh73o--1ejtghxqj8vcg","d5bknwh73o--1ejtghxqj8vcg","Tour (enseigne de la)",,
"place/FRAN_RI_026-d3nzuq24z2-1d4hchdqrwnar","d3nzuq24z2-1d4hchdqrwnar","Touraine (hôtel de)",,
"place/FRAN_RI_026-d5bknx08sp-we0n15ooor67","d5bknx08sp-we0n15ooor67","Tour d'Argent (enseigne de la)",,
"place/FRAN_RI_026-d3nzuq2hox--3lc0fvn8akhq","d3nzuq2hox--3lc0fvn8akhq","Tournai (collège)",,
