"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_026)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_026-d5bknx5su4--12qodnj90ut99","d5bknx5su4--12qodnj90ut99","Institut de France","Quatre-Nations (prison des) | Mazarin (collège) | Quatre-Nations (collège des) | Institut (palais de l')",
"place/FRAN_RI_026-d5bknw4u6r--1avulke29gm7r","d5bknw4u6r--1avulke29gm7r","Institution (enseigne de l')",,
"place/FRAN_RI_026-d3nzujl7pj-1lm7pzqdlrci6","d3nzujl7pj-1lm7pzqdlrci6","Instruction-Chrétienne (couvent des Filles de l')",,
"place/FRAN_RI_026-d3nzujljcl-q5kjs3obcwyw","d3nzujljcl-q5kjs3obcwyw","Intendance (hôtel de l')",,
"place/FRAN_RI_026-d3nzujma2u-2h0827099saz","d3nzujma2u-2h0827099saz","Invalides (hôtel des)","Invalides",
"place/FRAN_RI_026-d3nzujngz4-1mdj6j0eyxsw3","d3nzujngz4-1mdj6j0eyxsw3","Irlandais (institut culturel)","Irlandais (collège des) | Lombards (collège des)",
"place/FRAN_RI_026-d3nzujnsm5-t7lls9kv25fp","d3nzujnsm5-t7lls9kv25fp","Ivry (barrière d')",,
"place/FRAN_RI_026-d3nzujo41g--1vk6raij3bkpm","d3nzujo41g--1vk6raij3bkpm","Jabac (hôtel de)",,
"place/FRAN_RI_026-d3m0cugtrnj-1vf7c8wo2ue1j","d3m0cugtrnj-1vf7c8wo2ue1j","Jacobins (cloître des)",,
"place/FRAN_RI_026-d3nzujofgq--1ot7fi5d0vao9","d3nzujofgq--1ot7fi5d0vao9","Jacobins (couvent des)",,
"place/FRAN_RI_026-d3nzujoqw1-u0uono4uqkz5","d3nzujoqw1-u0uono4uqkz5","Jacobins (église des)",,
"place/FRAN_RI_026-d3m0cugia2l--17ld77fb0zydh","d3m0cugia2l--17ld77fb0zydh","Jacobins (marché des)",,
"place/FRAN_RI_026-d3m0cug15nr-1ot43nfnx94lm","d3m0cug15nr-1ot43nfnx94lm","Jacobins réformés (couvent des)",,
"place/FRAN_RI_026-d3nzujpple--bgetdwdkzg5j","d3nzujpple--bgetdwdkzg5j","Janson-de-Sailly (lycée)",,
"place/FRAN_RI_026-d3m0cuhfg2l--102e4uw9auv9i","d3m0cuhfg2l--102e4uw9auv9i","Jardin des plantes",,
"place/FRAN_RI_026-d3nzujquzc-uowyjftoyjf5","d3nzujquzc-uowyjftoyjf5","Jassaud (hôtel de)",,"Cette dénomination correspond à 3 hôtels situés : rue du Parc-Royal, rue de Turenne, quai de Bourbon. Voir aussi Jassaud (hôtel de), Camillac (hôtel), Lamoignon (hôtel de), Coursin (hôtel de), Berruyer (hôtel)."
