"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant de la ville ou du territoire dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Description (rico:descriptiveNote)","Nom et id du pays dans lequel la ville ou le territoire est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3m08zpcp9v-ayu5nbkwcd5o","d3m08zpcp9v-ayu5nbkwcd5o","Wastines (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zdgjtg-1iih66lvaqc4m","d3m08zdgjtg-1iih66lvaqc4m","Waterloo (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08yigzkx--14ma9ueh3h2ax","d3m08yigzkx--14ma9ueh3h2ax","Wavre (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08z9f3hn--12dvqlp0uqa90","d3m08z9f3hn--12dvqlp0uqa90","Weingarten (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zjew1x--103zkvkckycvb","d3m08zjew1x--103zkvkckycvb","Welford (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08ysyvta-oy87qbhec57k","d3m08ysyvta-oy87qbhec57k","Wesel (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zurcec--1lpp0r02z3rq0","d3m08zurcec--1lpp0r02z3rq0","Wexford (Irlande)",,,,,"Irlande [d3ntxkt0ox-16bmp6ylm8933]",,
"place/FRAN_RI_005-d3m08zn5k5j--14heta975nzia","d3m08zn5k5j--14heta975nzia","Wez-Velvain (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zvgxg8-1587ae2xthg4f","d3m08zvgxg8-1587ae2xthg4f","Wiebelskirchen (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zcm6u4--t9jkdl327b8o","d3m08zcm6u4--t9jkdl327b8o","Wilmington (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08zhelqh-1ixxbmzp6with","d3m08zhelqh-1ixxbmzp6with","Wilna (Pologne)",,,,,"Pologne [d3ntxle8f4--7cm271muwi1d]",,
"place/FRAN_RI_005-d3m08zdqfk8--1f161hdz7q55a","d3m08zdqfk8--1f161hdz7q55a","Woerden (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08zpovta--qsvopyzjkjnw","d3m08zpovta--qsvopyzjkjnw","Woluwe-Saint-Lambert (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zv7gd4--168rxl7dmcb6f","d3m08zv7gd4--168rxl7dmcb6f","Wurtemberg (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08ywocc5-ped4qh72vuiv","d3m08ywocc5-ped4qh72vuiv","Wustweiler (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yni09q-fxoouyyq6d2i","d3m08yni09q-fxoouyyq6d2i","York (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zonqen--14ouqr2tf4onk","d3m08zonqen--14ouqr2tf4onk","Ypres (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zqc3oy-xmmfvz61t81m","d3m08zqc3oy-xmmfvz61t81m","Zaltbommel (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m0901teqn-1aujh9lvhfhej","d3m0901teqn-1aujh9lvhfhej","Zanzibar (Tanzanie)",,,,,"Tanzanie [d3ntxluvgk--1r1p1lp3igou1]",,
"place/FRAN_RI_005-d-6yikfq9hz-wsfy191em94x","d-6yikfq9hz-wsfy191em94x","Zonnebeke (Belgique)",,,,"Zonnebeke est une commune néerlandophone de Belgique située en Région flamande dans la province de Flandre-Occidentale. (Source : https://fr.wikipedia.org/wiki/Zonnebeke)","Belgique [d3ntxk30in--c94xo1un1ah3]","http://www.wikidata.org/entity/Q214154 | https://sws.geonames.org/2783184/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08yzd2i9-icmsjn1f27jr","d3m08yzd2i9-icmsjn1f27jr","Zurich (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08z0oibd-1mt9prn211hxv","d3m08z0oibd-1mt9prn211hxv","Zutphen (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
