"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant de la ville ou du territoire dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Description (rico:descriptiveNote)","Nom et id du pays dans lequel la ville ou le territoire est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3m08zc0hmj--1cafb0kc2np8h","d3m08zc0hmj--1cafb0kc2np8h","Middlebourg (Pays-Bas)","Middelburg (Pays-Bas)",,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08z93rgc-1er782srom53i","d3m08z93rgc-1er782srom53i","Middlesex (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zoxdfo--1ca9jvtcyjuim","d3m08zoxdfo--1ca9jvtcyjuim","Migiandone (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3ntxoffsl-bita5njbvtxb","d3ntxoffsl-bita5njbvtxb","Milan (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zcwc36-pnhiys98jirr","d3m08zcwc36-pnhiys98jirr","Minden (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zndxmh--y6t3x68h748d","d3m08zndxmh--y6t3x68h748d","Minnesota (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08zj7ns5--1ljlb5kzbipyd","d3m08zj7ns5--1ljlb5kzbipyd","Modène (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zvs6po--zqx22p7b1miz","d3m08zvs6po--zqx22p7b1miz","Molenbeek-Saint-Jean (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zsf7tl--wlskvt6vmpri","d3m08zsf7tl--wlskvt6vmpri","Moncalieri (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zi98mc-1d29idwbhyf6o","d3m08zi98mc-1d29idwbhyf6o","Mondovi (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z4rhb9-1xmil9dyh9vp9","d3m08z4rhb9-1xmil9dyh9vp9","Mons (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zby785--xel2qm7blzt0","d3m08zby785--xel2qm7blzt0","Montalcino (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zudevd-1hyp2hbcjkx0d","d3m08zudevd-1hyp2hbcjkx0d","Montbrillant (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zeokf8-12oico8028jb1","d3m08zeokf8-12oico8028jb1","Montevideo (Uruguay)",,,,,"Uruguay [d3ntxm0chb-1mwjmevisbc56]",,
"place/FRAN_RI_005-d3m08znqlzo-jwsg1lqttt0y","d3m08znqlzo-jwsg1lqttt0y","Montréal (Canada)",,,,,"Canada [d3ntxk8y4x-gtyf62ncokz4]",,
"place/FRAN_RI_005-d3m08zw77ut-15hgdmiql9vn3","d3m08zw77ut-15hgdmiql9vn3","Mont-Saint-Guibert (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08yhoblu-1gipjtk9e7pw5","d3m08yhoblu-1gipjtk9e7pw5","Montserrat (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08z6gid9--d45go6ksot13","d3m08z6gid9--d45go6ksot13","Moret (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zryxin-yymukcbc2ajh","d3m08zryxin-yymukcbc2ajh","Morges (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zwww2s-3u6f6ywtbdkw","d3m08zwww2s-3u6f6ywtbdkw","Morlanwelz-Mariemont (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3ntxoja6l-1o5s9ugpepepe","d3ntxoja6l-1o5s9ugpepepe","Moscou (Russie)",,,,,"Russie [d3ntxlhlzu--xk25nxgg86yz]",,
"place/FRAN_RI_005-d3m08z18jb7--16hbi2f3vn4uo","d3m08z18jb7--16hbi2f3vn4uo","Mostaganem (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3m08zacyud--khadgiq7q5n2","d3m08zacyud--khadgiq7q5n2","Munich (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z5jpfv-3g9i0nn5kdhj","d3m08z5jpfv-3g9i0nn5kdhj","Munster (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z7y9yo--18qnf38byorql","d3m08z7y9yo--18qnf38byorql","Mustapha (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3m08zl0dy0-ffm7h0uxshx5","d3m08zl0dy0-ffm7h0uxshx5","Namur (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zxcg8g-dzls5zg33irl","d3m08zxcg8g-dzls5zg33irl","Naples (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zpm7y0-1uoqqq9r25ik5","d3m08zpm7y0-1uoqqq9r25ik5","Natal (Brésil)",,,,,"Brésil [d3ntxk6m2h--l8e0e4qh3ifr]",,
"place/FRAN_RI_005-d3m08zj5gjv-uyvyontnprhe","d3m08zj5gjv-uyvyontnprhe","Natchitoches (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08ztwvge--prhfj1rbtzq5","d3m08ztwvge--prhfj1rbtzq5","Navarin (Grèce)",,,,,"Grèce [d3ntxknnzd--1o618nl5gdmcb]",,
"place/FRAN_RI_005-d3m08zzkxop--1j4aqurvq2lpp","d3m08zzkxop--1j4aqurvq2lpp","Neerwinden (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zb13lq-p7xb9m7jc52q","d3m08zb13lq-p7xb9m7jc52q","Neuchâtel (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08ym16cj-1tbtdm7yhtim4","d3m08ym16cj-1tbtdm7yhtim4","Neufchâteau (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zapm0s--s6yr16vcfa4b","d3m08zapm0s--s6yr16vcfa4b","Neukirchen (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z30ixi-1l1urg0ong4wb","d3m08z30ixi-1l1urg0ong4wb","Neupont (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zev9og-2m801mb1ijrm","d3m08zev9og-2m801mb1ijrm","New Jersey (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d5bdoyvfcn-1pmwibmo40tzt","d5bdoyvfcn-1pmwibmo40tzt","New York (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08zk1dsc--iwoigwhlus62","d3m08zk1dsc--iwoigwhlus62","Niederlinxweiler (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yjw3b3-1enrwejnxtoa5","d3m08yjw3b3-1enrwejnxtoa5","Nieuport (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08yt1tl3-1xeuaw838fvuo","d3m08yt1tl3-1xeuaw838fvuo","Nimègue (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08zwj5oh-pe9ad3cskpvd","d3m08zwj5oh-pe9ad3cskpvd","Nordstrand (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zwgu3b--6jw3yimg4za","d3m08zwgu3b--6jw3yimg4za","Northampton (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08yt66uw-nzoxeuq0g6e3","d3m08yt66uw-nzoxeuq0g6e3","Nouvelle France (1578-1763)",,"1578","1763",,,,
"place/FRAN_RI_005-d3m08zncxkp--sbc7sh47gfs9","d3m08zncxkp--sbc7sh47gfs9","Nuremberg (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zyuyro--ytv43mjg3ga7","d3m08zyuyro--ytv43mjg3ga7","Oberstedten (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yi43or-7cum1cd3yhos","d3m08yi43or-7cum1cd3yhos","Odessa (Ukraine)",,,,,"Ukraine [d3ntxlzn9e--18rviijd4m2nf]",,
"place/FRAN_RI_005-d3m08zwb5of-18nha49tclgg4","d3m08zwb5of-18nha49tclgg4","Offenbach-sur-le-Main (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z02spj--1nynfztft1or","d3m08z02spj--1nynfztft1or","Ohio (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08yxy4q0--53f2f2fpgdib","d3m08yxy4q0--53f2f2fpgdib","Oldenbourg (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zs94r0--zbu1powq3z00","d3m08zs94r0--zbu1powq3z00","Oradea (Roumanie)",,,,,"Roumanie [d3ntxlgwk5--1es7xt1ruo381]",,
"place/FRAN_RI_005-d3m08z3p352-bocmremsw69","d3m08z3p352-bocmremsw69","Oran (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3m08zohjrp--1qln2hrdl65c","d3m08zohjrp--1qln2hrdl65c","Ornavasso (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d-694e16w27-1dfn54o118pdm","d-694e16w27-1dfn54o118pdm","Oslo (Norvège)",,,,"Oslo est la capitale d'État de la Norvège. (Source : https://fr.wikipedia.org/wiki/Oslo)","Norvège [d3ntxl9v9z--nxz6o208s4yg]","http://www.wikidata.org/entity/Q585 | https://sws.geonames.org/3143244/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3ntxoqfzq--8gtpx9b6ph13","d3ntxoqfzq--8gtpx9b6ph13","Ostende (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08ytxwd8-1f48f32qvytj6","d3m08ytxwd8-1f48f32qvytj6","Ottobiano (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zxh4ll-1timice5u2xca","d3m08zxh4ll-1timice5u2xca","Ottweiler (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yjcd0b--3d7zi8q43t5w","d3m08yjcd0b--3d7zi8q43t5w","Ouantre (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d-72o6kxtbb-1ox6gtza4kck3","d-72o6kxtbb-1ox6gtza4kck3","Ouled Moussa (Algérie)",,,,"Ouled Moussa (أولاد موسى en arabe, Tizi Naïth Aïcha en kabyle, transcrit ⵜⵉⵣⵉ ⵏ ⴰⵜⵀ ⴰ̆ⵉⵛⴰ en Tifinagh ; Saint-Pierre-Saint-Paul pendant la colonisation française) est une commune de la wilaya de Boumerdès, dans la daïra de Khemis El Khechna, en Algérie.(Source : https://fr.wikipedia.org/wiki/Ouled_Moussa)","Algérie [d3ntxjxn5s-6kuyi0i46073]","http://www.wikidata.org/entity/Q3055250",
"place/FRAN_RI_005-d3m08zrultw-1fjloz8rh4xc5","d3m08zrultw-1fjloz8rh4xc5","Oxford (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d-69s6f2xgn--7utvtfnc5hz3","d-69s6f2xgn--7utvtfnc5hz3","Paderborn (Allemagne)",,,,"Paderborn, est une ville d'Allemagne, située dans l'est du land de Rhénanie-du-Nord-Westphalie. (Source : https://fr.wikipedia.org/wiki/Paderborn )","Allemagne [d3ntxjxyl2-de3n2j7xfcc0]","http://www.wikidata.org/entity/Q2971 | https://sws.geonames.org/2855745/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zyua7g-w0lmdl3vhclw","d3m08zyua7g-w0lmdl3vhclw","Palatinat (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yjavj0--1lsktgfc68b6r","d3m08yjavj0--1lsktgfc68b6r","Palerme (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z40oad-1vpmgbt5pvp11","d3m08z40oad-1vpmgbt5pvp11","Pampelune (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08z7fna2--olaq58k37lj5","d3m08z7fna2--olaq58k37lj5","Parme (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yj5f1c-13y32pgqpn8yk","d3m08yj5f1c-13y32pgqpn8yk","Pavie (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d5bdp8hlx9--1vxjaeuq745s5","d5bdp8hlx9--1vxjaeuq745s5","Pays de l'Est","Bloc de l'Est",,,"Représentation politique qui englobe les pays d'Europe centrale et orientale sous domination soviétique depuis la fin de la Seconde Guerre mondiale jusqu'à la chute du système communiste soviétique, en 1989-1991 (EUROVOC).",,,
"place/FRAN_RI_005-d3m08yshebv-9mdlnehtf0aq","d3m08yshebv-9mdlnehtf0aq","Peckleton (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08yibec3-1hxjhgsa2ztjs","d3m08yibec3-1hxjhgsa2ztjs","Pékin (Chine)","Beijing (Chine)",,,,"Chine [d3ntxkac5a-8e4epe80c9ko]",,
"place/FRAN_RI_005-d3m0900zdn6-gm05llcpz51y","d3m0900zdn6-gm05llcpz51y","Philadelphie (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08yivus5--1txib9jw0kjzr","d3m08yivus5--1txib9jw0kjzr","Piémont (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d-60h5dgvac--65z2t80sx76e","d-60h5dgvac--65z2t80sx76e","Pijpegale (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]","https://sws.geonames.org/2788969/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zeouq1--1ibixxqbzq2io","d3m08zeouq1--1ibixxqbzq2io","Pinerolo (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zpsc7d-6ywq6q2rxp9k","d3m08zpsc7d-6ywq6q2rxp9k","Piombino (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zqtrik--1b2nysjvhis1q","d3m08zqtrik--1b2nysjvhis1q","Pise (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zt17q8-1ggoauddkn73j","d3m08zt17q8-1ggoauddkn73j","Pistoia (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zp8oof-1sz6uolcfxiy3","d3m08zp8oof-1sz6uolcfxiy3","Plaisance (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zfdbri-s6x28a20w8hy","d3m08zfdbri-s6x28a20w8hy","Plymouth (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zd13md--1nwln9aqjgg12","d3m08zd13md--1nwln9aqjgg12","Polotsk (Biélorussie)",,,,,"Biélorussie [d3ntxk4sr5-12txs5wjgb6lp]",,
"place/FRAN_RI_005-d3m08zan8gb--1dzrseyfrt3q3","d3m08zan8gb--1dzrseyfrt3q3","Pondichéry (Inde)",,,,,"Inde [d3ntxkrkiz--1shnvwc1hre55]",,
"place/FRAN_RI_005-d-6sv285rq1-10x362xny2dnb","d-6sv285rq1-10x362xny2dnb","Poperinge (Belgique)",,,,"Poperinge (Poperinghe en français) est une ville flamande de Belgique située en Région flamande dans la province de Flandre-Occidentale. (Source : https://fr.wikipedia.org/wiki/Poperinge)","Belgique [d3ntxk30in--c94xo1un1ah3]","http://www.wikidata.org/entity/Q499588 | https://sws.geonames.org/2788726/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08yi8ovs--uvbgvg5s07mq","d3m08yi8ovs--uvbgvg5s07mq","Port-au-Prince (Haïti)",,,,,"Haïti [d3ntxkpxgp--1v0m0nu0itvsu]",,
"place/FRAN_RI_005-d3m08yjltp5-16hh0hz5aj5f7","d3m08yjltp5-16hh0hz5aj5f7","Porto (Portugal)",,,,,"Portugal [d3ntxlekx7--1o2ff4b0v3ptu]",,
"place/FRAN_RI_005-d3m08ztwn4x-1lq4ubletfa2a","d3m08ztwn4x-1lq4ubletfa2a","Portoferraio (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08znj2ml-sb2nm43ef9ec","d3m08znj2ml-sb2nm43ef9ec","Potsdam (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zxausk-8s99isqo4fr","d3m08zxausk-8s99isqo4fr","Poznan (Pologne)",,,,,"Pologne [d3ntxle8f4--7cm271muwi1d]",,
"place/FRAN_RI_005-d3m08zqe4l1--sp2d6bsb25td","d3m08zqe4l1--sp2d6bsb25td","Prague (République Tchèque)",,,,,,,
"place/FRAN_RI_005-d3m08z98o4y--nzhgj03d2gd7","d3m08z98o4y--nzhgj03d2gd7","Preglia (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yvjwhb-9dy6187jbls4","d3m08yvjwhb-9dy6187jbls4","Princenhage (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08ypu2v7-1irn9uii315ek","d3m08ypu2v7-1irn9uii315ek","Prum (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zfr5q5--ac1kum3ovuqj","d3m08zfr5q5--ac1kum3ovuqj","Puebla (Mexique)",,,,,"Mexique [d3ntxl5629--bz5leouyg7ju]",,
"place/FRAN_RI_005-d3ntxp3lkr--1bgzyf0vbrqry","d3ntxp3lkr--1bgzyf0vbrqry","Québec (Canada)",,,,,"Canada [d3ntxk8y4x-gtyf62ncokz4]",,
"place/FRAN_RI_005-d3ntxp48fc-1gnk0ca78d33z","d3ntxp48fc-1gnk0ca78d33z","Rabat (Maroc)",,,,,"Maroc [d3ntxl3s9o-18z3mton10zrv]",,
"place/FRAN_RI_005-d3m08z24qg7--1tge0nmcs8f22","d3m08z24qg7--1tge0nmcs8f22","Raguse (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zh0b4v-g35vludg4i42","d3m08zh0b4v-g35vludg4i42","Ratisbonne (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08znrjnw--1a00gh8jmf0ut","d3m08znrjnw--1a00gh8jmf0ut","Reggio d'Emilie (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z4iehk-ie19bvao3z7p","d3m08z4iehk-ie19bvao3z7p","Reggio de Calabre (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z6y503--1sq8h6hhlyymu","d3m08z6y503--1sq8h6hhlyymu","Reichenbach (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zbmusm-1tq4svc8ugxr","d3m08zbmusm-1tq4svc8ugxr","Reus (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08zm6mdf-sa40azxftl30","d3m08zm6mdf-sa40azxftl30","Rheinweiler (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d5bdpq8c34--5ni4m5nxetku","d5bdpq8c34--5ni4m5nxetku","Rhénanie-Palatinat (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zp4ddy--y6dj78jmenff","d3m08zp4ddy--y6dj78jmenff","Rhodes (Grèce)",,,,,"Grèce [d3ntxknnzd--1o618nl5gdmcb]",,
"place/FRAN_RI_005-d3m08z8fhxu--whd4be4xnw5r","d3m08z8fhxu--whd4be4xnw5r","Rhodt (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yipm5w-15tazn5sktvz4","d3m08yipm5w-15tazn5sktvz4","Riga (Lettonie)",,,,,"Lettonie [d3ntxkym0w--dgz2ly2z4p4u]",,
"place/FRAN_RI_005-d3m08zhmikg--r5tb0aten522","d3m08zhmikg--r5tb0aten522","Rio de Janeiro (Brésil)",,,,,"Brésil [d3ntxk6m2h--l8e0e4qh3ifr]",,
"place/FRAN_RI_005-d3m08yiju6m-1v211h8f6qsam","d3m08yiju6m-1v211h8f6qsam","Roccatederighi (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3ntxp6caw-udnctpnx3a0s","d3ntxp6caw-udnctpnx3a0s","Rome (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08ymyjvi--ggriqueohalm","d3m08ymyjvi--ggriqueohalm","Ross (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zfnb2n--slblj60iazpj","d3m08zfnb2n--slblj60iazpj","Rostock (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08ziaqhw-16iu9y75zh90a","d3m08ziaqhw-16iu9y75zh90a","Rotterdam (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08z0md2d--10zf9r9gl1hen","d3m08z0md2d--10zf9r9gl1hen","Routière (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d5bdp4oc80-ca9td5cxkow6","d5bdp4oc80-ca9td5cxkow6","Ruhr (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08znffi1-171dqtt7j6fqt","d3m08znffi1-171dqtt7j6fqt","Ryde (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zvcwgj-38kqgwo6ezt","d3m08zvcwgj-38kqgwo6ezt","Sacra di San Michele (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d5bdpdhtm9--t6iknlnubjsq","d5bdpdhtm9--t6iknlnubjsq","Sahara occidental",,,,,,,
"place/FRAN_RI_005-d-5voi8nbvn-td8x5sfvvh0s","d-5voi8nbvn-td8x5sfvvh0s","Saïda (Algérie)",,,,"Saïda est une ville d'Algérie et chef-lieu de la wilaya de Saïda, située dans le nord-ouest de l'Algérie. (Source : https://fr.wikipedia.org/wiki/Sa%C3%AFda_(Alg%C3%A9rie))","Algérie [d3ntxjxn5s-6kuyi0i46073]","http://www.wikidata.org/entity/Q401452 | https://sws.geonames.org/2482572/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zpt9vl--kyejyht4eui0","d3m08zpt9vl--kyejyht4eui0","Saint-Andrews (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zuu4mi-zozkl46ib9v","d3m08zuu4mi-zozkl46ib9v","Saint-Antelinckx (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08yhr1uo--4vrhnuiar6b7","d3m08yhr1uo--4vrhnuiar6b7","Saint-Gall (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08ylyeww-1m7u7vh1k2rrj","d3m08ylyeww-1m7u7vh1k2rrj","Saint-Helens (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zwosic-1xfjd5qe3l28m","d3m08zwosic-1xfjd5qe3l28m","Saint-Hubert (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zfy6gy-1nep6eg17e0fc","d3m08zfy6gy-1nep6eg17e0fc","Saint-Jacques-de-Compostelle (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08ynqcy6--gvdq49nkxvj6","d3m08ynqcy6--gvdq49nkxvj6","Saint-Josse ten Noode (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zghiwk--j8jdiaj8dewj","d3m08zghiwk--j8jdiaj8dewj","Saint-Louis (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08z541pu-1h820qorduk9m","d3m08z541pu-1h820qorduk9m","Saint-Louis (Sénégal)",,,,,"Sénégal [d3ntxlm0fj--1uvyjh4y8ws6h]",,
