"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_025)","Dénomination préférée (skos:prefLabel)","Historique (rico:history)"
"place/FRAN_RI_025-d3nzcqn87k-7cz13ccw5qfb","d3nzcqn87k-7cz13ccw5qfb","Puits-Artésien (place du)","Actuellement place Paul-Verlaine."
"place/FRAN_RI_025-d3nzcqnjf3--160m8k1v3twtb","d3nzcqnjf3--160m8k1v3twtb","Puits-Artésien (rue du)","Actuellement rue Dufrenoy."
"place/FRAN_RI_025-d3nzcqnuud--1rpmk2x5ha2zp","d3nzcqnuud--1rpmk2x5ha2zp","Puits-au-Marais (rue du)","Actuellement rue Aubriot."
"place/FRAN_RI_025-d3nzcqo5u5--gj2ruylmq2e0","d3nzcqo5u5--gj2ruylmq2e0","Puits-Certain (rue du)","Actuellement rue de Lanneau."
"place/FRAN_RI_025-d3nzcqoh9f-q159wrlk2d7q","d3nzcqoh9f-q159wrlk2d7q","Puits-d'Amour (rue du)","Actuellement rue de la Petite-Truanderie."
"place/FRAN_RI_025-d3nzcqosop-u158zjxv728e","d3nzcqosop-u158zjxv728e","Puits-de-Fer (rue du)","Actuellement rue Rollin et rue de Navarre."
"place/FRAN_RI_025-d3nzcqp3oh-4yk0x2l0c89p","d3nzcqp3oh-4yk0x2l0c89p","Puits-de-l'Ermite (place du)","Voie actuelle. Autre(s) nom(s) : place Sainte-Pélagie."
"place/FRAN_RI_025-d3nzcqpew0-1ini0h44q4hyq","d3nzcqpew0-1ini0h44q4hyq","Puits-de-l'Ermite (rue du)","Voie actuelle."
"place/FRAN_RI_025-d3nzcqpq3j--19g2648v1zqc8","d3nzcqpq3j--19g2648v1zqc8","Puits-de-l'Orme (rue du)","Voir rue des Sansonnets."
"place/FRAN_RI_025-d3nzcqq1it--nvt4gj0u2t1q","d3nzcqq1it--nvt4gj0u2t1q","Puits-de-la-Ville (rue du)","Voie supprimée."
"place/FRAN_RI_025-d3nzcqqcil--1cyecj2cq1ozk","d3nzcqqcil--1cyecj2cq1ozk","Puits-de-Rome (cul-de-sac du)","Voir cul-de-sac de Rome."
"place/FRAN_RI_025-d3nzcqqnq4-13b07ikkkmxg2","d3nzcqqnq4-13b07ikkkmxg2","Puits-du-Chapitre (ruelle du)","Voir passage de la Treille."
"place/FRAN_RI_025-d3nzcqqyxn--1bxqg8vzbrtam","d3nzcqqyxn--1bxqg8vzbrtam","Puits-qui-Parle (rue du)","Actuellement rue Amyot."
"place/FRAN_RI_025-d3nzcqsfj4--1oyznng33dst1","d3nzcqsfj4--1oyznng33dst1","Purgée (rue)","Actuellement rue du Pélican."
"place/FRAN_RI_025-d3nzcqsrtg-1002zism6bc2i","d3nzcqsrtg-1002zism6bc2i","Pusy (cité de)","Voie actuelle."
