"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_023)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)"
"place/FRAN_RI_023-d3nyvfzzpd-hk7rwhhd1t54","d3nyvfzzpd-hk7rwhhd1t54","Faubourg-Saint-Germain (Paris ; quartier)","Faubourg-Saint-Germain (quartier) | Fontaine-de-Grenelle (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire Fontaine-de-Grenelle."
"place/FRAN_RI_023-d3nyvg0pkl-1p88bl6gdnqoz","d3nyvg0pkl-1p88bl6gdnqoz","Feydeau (Paris ; quartier)","Feydeau (quartier) | Lepeletier (section révolutionnaire) | Quatre-Vingt-Douze (section révolutionnaire) | Bibliothèque (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Bibliothèque, Quatre-Vingt-Douze, Lepeletier."
"place/FRAN_RI_023-d3nyvg135h--90znej705rom","d3nyvg135h--90znej705rom","Folie-Méricourt (Paris ; quartier)","Folie-Méricourt (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvg1ffs-w9d8z9g3v1q3","d3nyvg1ffs-w9d8z9g3v1q3","Gaillon (Paris ; quartier)","Gaillon (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvg20s1-1i14hpec0kt2u","d3nyvg20s1-1i14hpec0kt2u","Gare (Paris ; quartier)","Gare (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvg2nev--jrqdyucptm1w","d3nyvg2nev--jrqdyucptm1w","Goutte d'Or (Paris ; quartier)","Goutte d'Or (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvg39m5-23n0t6zewamv","d3nyvg39m5-23n0t6zewamv","Grandes Carrières (Paris ; quartier)","Grandes Carrières (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvg3vlp--14veqa1sfbbwm","d3nyvg3vlp--14veqa1sfbbwm","Grenelle (Paris ; quartier)","Grenelle (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvg4hsz--1pxjpiihtogfj","d3nyvg4hsz--1pxjpiihtogfj","Grève (Paris ; quartier)","Grève (quartier)","1701","1790","Quartier ayant existé de 1701 à 1790."
"place/FRAN_RI_023-d3nyvg540a-yfv801bnr56a","d3nyvg540a-yfv801bnr56a","Gros-Caillou (Paris ; quartier)","Gros-Caillou (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvg5q7k-1815nk8q1azo8","d3nyvg5q7k-1815nk8q1azo8","Halles (Paris ; quartier)","Halles (quartier)",,,"Quartier ayant existé de 1701 à 1790 puis à partir de 1860."
"place/FRAN_RI_023-d3nyvg6cev-3mrglagu8qar","d3nyvg6cev-3mrglagu8qar","Hôpital Saint-Louis (Paris ; quartier)","Hôpital Saint-Louis (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvg6yee--avg1nwx4nj8w","d3nyvg6yee--avg1nwx4nj8w","Hôtel-de-Ville (Paris ; quartier)","Hôtel-de-Ville (quartier) | Fidélité (section révolutionnaire) | Maison-Commune (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Maison-Commune, Fidélité."
